# new DOI queue (mechanistic) generated at 2026-05-15T06:47:48.679587+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.3390/antiox12030663,,,The Potential of Flavonoids and Flavonoid Metabolites in the Treatment of Neurodegenerative Pathology in Disorders of Cognitive Decline,2023,James Melrose
10.1016/j.pbb.2005.12.015,,,"Hallucinogen-like actions of 5-methoxy-N,N-diisopropyltryptamine in mice and rats",2006,William E. Fantegrossi; Andrew W. Harrington; Christina Lynn Kiessel; J.R. Eckler; R.A. Rabin; J.C. Winter; Andrew Coop; Kenner C. Rice; J H Woods
10.1016/s0893-133x(01)00243-3,,,Effects of Ketamine in Normal and Schizophrenic Volunteers,2001,Adrienne C. Lahti
10.1016/s0376-8716(99)00148-9,,,"Binding of β-carbolines and related agents at serotonin (5-HT2 and 5-HT1A), dopamine (D2) and benzodiazepine receptors",2000,Richard A. Glennon; Maƚgorzata Dukat; Brian Grella; Seoung‐Soo Hong; Luca Costantino; Milt Teitler; Carol Smith; Chris Egan; Katherine Davis; Mariena V. Mattson
10.1523/jneurosci.18-13-05086.1998,,,"Small Changes in Ambient Temperature Cause Large Changes in 3,4-Methylenedioxymethamphetamine (MDMA)-Induced Serotonin Neurotoxicity and Core Body Temperature in the Rat",1998,Jessica E. Malberg; Lewis S. Seiden
10.1016/s0893-133x(96)00246-1,,,Positron Emission Tomography and Fluorodeoxyglucose Studies of Metabolic Hyperfrontality and Psychopathology in the Psilocybin Model of Psychosis,1997,FX Vollenweider
10.1523/jneurosci.15-08-05476.1995,,,"Reorganization of ascending 5-HT axon projections in animals previously exposed to the recreational drug (+/-)3,4-methylenedioxymethamphetamine (MDMA, ""ecstasy"")",1995,Christina Weide Fischer; George Hatzidimitriou; J Wlos; Jonathan L. Katz; G.A. Ricaurte
10.1523/jneurosci.08-08-02788.1988,,,Methylenedioxyamphetamine (MDA) and methylenedioxymethamphetamine (MDMA) cause selective ablation of serotonergic axon terminals in forebrain: immunocytochemical evidence for neurotoxicity,1988,Elizabeth O’Hearn; Giuseppe Battaglia; EB De Souza; MJ Kuhar; Molliver Me
10.1080/00032718708078037,,,Enzyme-Amplified Receptor Assay (ERA): A Novel Approach to Drug Detection,1987,S. F. Hallowed; G. A. Rechnitz
10.1016/0014-2999(87)90345-1,,,Potent agonist activity of DOB at 5-HT2 receptors in guinea pig trachea,1987,William A. Heller; Jay M. Baraban
10.1093/schbul/13.4.643,,,Startle Habituation and Sensorimotor Gating in Schizophrenia and Related Animal Models,1987,Mark A. Geyer; David Braff
10.1016/0014-2999(84)90333-9,,,"5-HT1 and 5-HT2 binding properties of derivatives of the hallucinugen 1-(2,5-dimethoxyphenyl)-2-aminopropane (2,5-DMA)",1984,Michael H. Shannon; George Battaglia; Richard A. Glennon; Milt Titeler
10.1021/jm00185a014,,,"Studies on several 7-substituted N,N-dimethyltryptamines",1980,R. A. GLENNON; E. Schubert; John M. Jacyno; John A. Rosecrans
10.1007/bf00426533,,,Endogenous ligands of a putative LSD-serotonin receptor in the cerebrospinal fluid: Higher level of LSD-displacing factors (LDF) in unmedicated psychotic patients,1977,E. Mehl; E. R�ther; J. Redemann
