line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.3389/fpsyt.2025.1565852,,,Harnessing neuroplasticity with psychoplastogens: the essential role of psychotherapy in psychedelic treatment optimization,2025,Jennifer Jones,candidate_paper_corpus | disorder:paper_library
4,10.1073/pnas.2416106122,,,Molecular design of a therapeutic LSD analogue with reduced hallucinogenic potential,2025,Jeremy R. Tuck; Lee E. Dunlap; Yara A. Khatib; Cassandra J. Hatzipantelis; Sammy Weiser Novak; Rachel M. Rahn; Alexis R. Davis; Adam Mosswood; Anna M. M. Vernier; Ethan M. Fenton,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
5,10.3390/brainsci15020117,,,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications,2025,Francesco Weiss; Anna Magnesa; Matteo Gambini; Riccardo Gurrieri; E. Annuzzi; Camilla Elefante; Giulio Perugi; Donatella Marazziti,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
6,10.1016/j.pneurobio.2024.102660,,,"Distinct 5-HT receptor subtypes regulate claustrum excitability by serotonin and the psychedelic, DOI",2024,Tanner L. Anderson; Jack Keady; Judy C. Songrady; Navid Tavakoli; Artin Asadipooya; Ryson E Neeley; Jill Turner; Pavel I. Ortinski,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
7,10.1038/s41392-024-01738-y,,,"Major depressive disorder: hypothesis, mechanism, prevention and treatment",2024,Lulu Cui; Shu Li; Siman Wang; Xiafang Wu; Yingyu Liu; Weiyang Yu; Yijun Wang; Yong Tang; Maosheng Xia; Baoman Li,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
8,10.1021/acschemneuro.2c00718,,,5-HT2ARs Mediate Therapeutic Behavioral Effects of Psychedelic Tryptamines,2023,Lindsay P. Cameron; Seona D. Patel; Maxemiliano V. Vargas; Eden V. Barragan; Hannah N. Saeger; Hunter T. Warren; Winston L. Chow; J.A. Gray; David E. Olson,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
9,10.1016/j.celrep.2023.112203,,,A non-hallucinogenic LSD analog with therapeutic potential for mood disorders,2023,Vern Lewis; Emma M. Bonniwell; Janelle K. Lanham; Abdi Ghaffari; Hooshmand Sheshbaradaran; Andrew B. Cao; Maggie M. Calkins; Mario Alberto Bautista-Carro; Emily Arsenault; Andre Telfer,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
10,10.1523/jneurosci.1384-23.2023,,,Beyond the 5-HT<sub>2A</sub>Receptor: Classic and Nonclassic Targets in Psychedelic Drug Action,2023,Lindsay P. Cameron; Joseph Benetatos; Vern Lewis; Emma M. Bonniwell; Alaina M. Jaster; Rafael Moliner; Eero Ċastrén; John D. McCorvy; Mikael Palner; Argel Aguilar‐Valles,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
11,10.1038/s41386-023-01629-w,,,Ketamine and rapid antidepressant action: new treatments and novel synaptic signaling mechanisms,2023,John H. Krystal; Ege T. Kavalali; Lisa M. Monteggia,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
12,10.3389/fnins.2023.1156319,,,Mini-review: The neurobiology of treating substance use disorders with classical psychedelics,2023,Marvin M. Urban; Moritz R. Stingl; Marcus W. Meinhardt,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
13,10.1038/s41591-022-02197-0,,,New and emerging approaches to treat psychiatric disorders,2023,Katherine W. Scangos; Matthew W. State; Andrew H. Miller; Justin T. Baker; Leanne M. Williams,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
14,10.1126/science.adf0435,,,Psychedelics promote neuroplasticity through the activation of intracellular 5-HT2A receptors,2023,Maxemiliano V. Vargas; Lee E. Dunlap; Chunyang Dong; Samuel J. Carter; Robert J. Tombari; Shekib A. Jami; Lindsay P. Cameron; Seona D. Patel; Joseph J. Hennessey; Hannah N. Saeger,candidate_paper_corpus | mechanistic:paper_library
15,10.1038/s41593-023-01316-5,,,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,2023,Rafael Moliner; Mykhailo Girych; Cecilia A. Brunello; Vera Kovaleva; Caroline Biojone; Giray Enkavi; Lina Antenucci; Erik F. Kot; Sergey A. Goncharuk; Katja Kaurinkoski,benchmark_manifest | candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library | mechanistic:stubs
16,10.1038/s41586-023-06204-3,,,Psychedelics reopen the social reward learning critical period,2023,Romain Nardou; Edward J. Sawyer; Young Jun Song; M. F. Wilkinson; Yasmin Padovan‐Hernandez; Júnia L. de Deus; Noelle Wright; Carine Lama; Sehr Faltin; Loyal A. Goff,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
17,10.1021/acschemneuro.2c00637,,,Shared and Distinct Brain Regions Targeted for Immediate Early Gene Expression by Ketamine and Psilocybin,2023,Pasha A. Davoudian; Ling-Xiao Shao; Alex C. Kwan,candidate_paper_corpus | disorder:paper_library
18,10.3390/ijms24021329,,,The Bright Side of Psychedelics: Latest Advances and Challenges in Neuropharmacology,2023,Andrea Mastinu; Margrate Anyanwu; Marinella Carone; Giulia Abate; Sara Anna Bonini; Gregorio Peron; Emanuela Tirelli; Mariachiara Pucci; Giovanni Ribaudo; Erika Oselladore,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
19,10.1146/annurev-physiol-042022-020923,,,The Effects of Psychedelics on Neuronal Physiology,2023,Cassandra J. Hatzipantelis; David E. Olson,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
21,10.1177/20451253231154125,,,The potential of ketamine for posttraumatic stress disorder: a review of clinical evidence,2023,Anya Ragnhildstveit; Jeremy Roscoe; Lisa C. Bass; Christopher L. Averill; Chadi G. Abdallah; Lynnette A. Averill,candidate_paper_corpus | disorder:paper_library
22,10.1038/s41386-023-01666-5,,,Therapeutic mechanisms of psychedelics and entactogens,2023,Boris D. Heifets; David E. Olson,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
23,10.1021/acsptsci.3c00123,,,Transient Elevation of Plasma Glucocorticoids Supports Psilocybin-Induced Anxiolysis in Mice,2023,N. Jones; Zarmeen Zahid; Sean M. Grady; Ziyad W. Sultan; Zhen Zheng; John A. Razidlo; Matthew I. Banks; Cody J. Wenthur,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
24,10.1007/s00213-022-06065-0,,,"Administration of N,N-dimethyltryptamine (DMT) in psychedelic therapeutics and research and the study of endogenous DMT",2022,Steven A. Barker,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
