# discovered queue (mechanistic) generated at 2026-05-15T06:49:57.780103+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1177/20451253251408280,5-MeO-DiPT,,Psychedelic therapy and postpartum depression: priorities and prospects,2026,Guillaume Thuery; Frank Crossen; Daniel Mc Loone; Catherine Hinds; R. T. Duffy; Chaitra Jairaj; Andrew Harkin; John R. Kelly
10.7554/elife.105968.2.sa1,DiPT,,Reviewer #2 (Public review): The oneirogen hypothesis: modeling the hallucinatory effects of classical psychedelics in terms of replay-dependent plasticity mechanisms,2026,Colin Bredenberg; Fabrice Normandin; Blake Richards; Guillaume Lajoie
10.1007/s43440-025-00817-3,25I-NBOMe,,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior,2026,Zuzanna Kościuk; Izabela Szpręgiel; Agnieszka Bysiek; K. Gołembiowska
10.1007/s00204-025-04255-1,ETH-LAD,,"The toxicity of psychedelic LSD derivatives: 1-acetyl-LSD (ALD-52), 1-propionyl-LSD (1P-LSD), 1-butyryl-LSD (1B-LSD), 1-valeryl-LSD (1V-LSD) and 1-cyclopropylmethanoyl-LSD (1cP-LSD)—prediction of toxicological parameters relevant to clinical and forensic toxicology using multi-in silico approach",2026,Kamil Jurowski; Alicja Krośniak; Damian Kobylarz; Oktawia Fijałkowska
10.1038/s41598-025-06453-4,Bromo-DragonFLY,,"ADME of Bromo-DragonFLY as an example of a new psychoactive substance (NPS) – application of in Silico methods for prediction: absorption, distribution, metabolism and excretion",2025,Maciej Noga; Kamil Jurowski
10.3390/ijms26062815,25I-NBOMe,,Acute Effects of the Psychedelic Phenethylamine 25I-NBOMe in C57BL/6J Male Mice,2025,Sabrine Bilel; Cristina Miliano; Giorgia Corli; M. Bassi; Massimo Trusel; Raffaella Tonini; Maria Antonietta De Luca; Matteo Marti
10.1111/cns.70362,ETH-LAD,,Animal Models of Traumatic Brain Injury and Their Relevance in Clinical Settings,2025,Payal Chauhan; Nikita Yadav; Karan Wadhwa; S. Ganesan; Chakshu Walia; Gulshan Rathore; Govind Singh; Mosleh Mohammad Abomughaid; Abhilasha Ahlawat; Αθανάσιος Αλεξίου
10.3390/jcm14020550,LSA,,Artificial Intelligence and Neuroscience: Transformative Synergies in Brain Research and Clinical Applications,2025,Răzvan Onciul; Cătălina-Ioana Tătaru; Adrian Dumitru; Carla Crivoi; Matei Șerban; Răzvan-Adrian Covache-Busuioc; Mugurel Petrinel Rădoi; Corneliu Toader
10.69622/27890283.v1,ETH-LAD,,Biomarkers for understanding the pathophysiology and risk assessment in subclinical and manifest coronary artery disease,2025,Sofia Cederström
10.47852/bonviewmedin52025024,DOET,,Biomedicine and Nutritional Epidemiology: AI-Assisted Personalized Nutrition in the Prevention and Management of Psychiatric Disorders,2025,Oluwafikayo Seun Adeyemi-Benson; Rufus Oluwagbemileke Ajayi; Oluwateniola Ajoke Adeyemi-Benson; Taiwo Temitope Ogunjobi
10.5463/thesis.1157,DOET,,Can fat cell hormones make you happy?,2025,M Andĕl
10.1101/2025.01.08.631940,Psilocybin,,Cell-type specific transcriptional modulation by psilocybin induces sustained plasticity in mouse medial prefrontal cortex,2025,Heike Schuler; Delong Zhou; Chloé Savignac; Vedrana Cvetkovska; Yiu-Chung Tse; Juliet Meccia; Joëlle Lopez; Ashot S. Harutyunyan; Jiannis Ragoussis; Danilo Bzdok
10.1186/s10020-024-00986-6,ETH-LAD,,Chronic inflammation in post-acute sequelae of COVID-19 modulates gut microbiome: a review of literature on COVID-19 sequelae and gut dysbiosis,2025,Najeeha Talat Iqbal; Hana Khan; Aqsa Khalid; Syed Faisal Mahmood; Nosheen Nasir; Iffat Khanum; Isadora Cristina de Siqueira; Wesley C. Van Voorhis
10.1007/s40262-024-01450-8,5-MeO-DiPT,,"Clinical Pharmacokinetics of N,N-Dimethyltryptamine (DMT): A Systematic Review and Post-hoc Analysis",2025,Katelijne V. van der Heijden; Marije E. Otto; Jan W. Schoones; Michiel J. van Esdonk; Laura Borghans; J. G. Coen van Hasselt; Joop van Gerven; Gabriel Jacobs
10.1007/s40262-024-01450-8#citeas,5-MeO-DiPT,,"Clinical pharmacokinetics of N,N-dimethyltryptamine (DMT): a systematic review and post-hoc analysis",2025,"Heijden, K.V. van der; Otto, M.E.; Schoones, J.W.; Esdonk, M.J. van; Borghans, L.G.J.M. van; Hasselt, J.G.C. van; Gerven, J.M.A.; Jacobs, G."
