# new DOI queue (mechanistic) generated at 2026-05-15T06:49:59.627085+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1038/s41598-025-06453-4,Bromo-DragonFLY,,"ADME of Bromo-DragonFLY as an example of a new psychoactive substance (NPS) – application of in Silico methods for prediction: absorption, distribution, metabolism and excretion",2025,Maciej Noga; Kamil Jurowski
10.1111/cns.70362,ETH-LAD,,Animal Models of Traumatic Brain Injury and Their Relevance in Clinical Settings,2025,Payal Chauhan; Nikita Yadav; Karan Wadhwa; S. Ganesan; Chakshu Walia; Gulshan Rathore; Govind Singh; Mosleh Mohammad Abomughaid; Abhilasha Ahlawat; Αθανάσιος Αλεξίου
10.3390/jcm14020550,LSA,,Artificial Intelligence and Neuroscience: Transformative Synergies in Brain Research and Clinical Applications,2025,Răzvan Onciul; Cătălina-Ioana Tătaru; Adrian Dumitru; Carla Crivoi; Matei Șerban; Răzvan-Adrian Covache-Busuioc; Mugurel Petrinel Rădoi; Corneliu Toader
10.69622/27890283.v1,ETH-LAD,,Biomarkers for understanding the pathophysiology and risk assessment in subclinical and manifest coronary artery disease,2025,Sofia Cederström
10.47852/bonviewmedin52025024,DOET,,Biomedicine and Nutritional Epidemiology: AI-Assisted Personalized Nutrition in the Prevention and Management of Psychiatric Disorders,2025,Oluwafikayo Seun Adeyemi-Benson; Rufus Oluwagbemileke Ajayi; Oluwateniola Ajoke Adeyemi-Benson; Taiwo Temitope Ogunjobi
10.1101/2025.01.08.631940,Psilocybin,,Cell-type specific transcriptional modulation by psilocybin induces sustained plasticity in mouse medial prefrontal cortex,2025,Heike Schuler; Delong Zhou; Chloé Savignac; Vedrana Cvetkovska; Yiu-Chung Tse; Juliet Meccia; Joëlle Lopez; Ashot S. Harutyunyan; Jiannis Ragoussis; Danilo Bzdok
10.1186/s10020-024-00986-6,ETH-LAD,,Chronic inflammation in post-acute sequelae of COVID-19 modulates gut microbiome: a review of literature on COVID-19 sequelae and gut dysbiosis,2025,Najeeha Talat Iqbal; Hana Khan; Aqsa Khalid; Syed Faisal Mahmood; Nosheen Nasir; Iffat Khanum; Isadora Cristina de Siqueira; Wesley C. Van Voorhis
10.1007/s40262-024-01450-8#citeas,5-MeO-DiPT,,"Clinical pharmacokinetics of N,N-dimethyltryptamine (DMT): a systematic review and post-hoc analysis",2025,"Heijden, K.V. van der; Otto, M.E.; Schoones, J.W.; Esdonk, M.J. van; Borghans, L.G.J.M. van; Hasselt, J.G.C. van; Gerven, J.M.A.; Jacobs, G."
10.1523/jneurosci.0344-25.2025,25C-NBOMe,,DMT-Induced Shifts in Criticality Correlate with Self-Dissolution,2025,Mona Irrmischer; Marco Aqil; Lisa Luan; Tongyu Wang; Hessel Engelbregt; Robin Carhart‐Harris; Klaus Linkenkaer‐Hansen; Christopher Timmermann
10.1016/j.neuron.2024.12.001,25B-NBOMe,,DNA damage and its links to neuronal aging and degeneration,2025,Ilse Delint‐Ramírez; Ram Madabhushi
10.1186/s12929-025-01119-9,DOET,,"EGF receptor in organ development, tissue homeostasis and regeneration",2025,Claudia Tito; Silvia Masciarelli; Gianni Colotti; Francesco Fazi
10.70269/10.70269/7295667717,ETH-LAD,,EGZERSİZ GENETİĞİ: PERFORMANS VE SAĞLIKTA MOLEKÜLER KODLAR,2025,EMEL KABARTAN ÇÖKELİ
10.1136/bmjopen-2024-097693,DPT,,Effectiveness of remote graded motor imagery therapy for patients with central sensitisation low back pain: study protocol for a randomised controlled trial,2025,Yingnan Sun; Yuanfeng Sun; Shun Song; Haoyu Hu
10.3390/ijms26125634,1P-LSD,,Epigenetic Alterations in Glioblastoma Multiforme as Novel Therapeutic Targets: A Scoping Review,2025,Marco Meleiro; Rui Henrique
