line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.1177/20451253251408280,5-MeO-DiPT,,Psychedelic therapy and postpartum depression: priorities and prospects,2026,Guillaume Thuery; Frank Crossen; Daniel Mc Loone; Catherine Hinds; R. T. Duffy; Chaitra Jairaj; Andrew Harkin; John R. Kelly,candidate_paper_corpus | disorder:paper_library
4,10.7554/elife.105968.2.sa1,DiPT,,Reviewer #2 (Public review): The oneirogen hypothesis: modeling the hallucinatory effects of classical psychedelics in terms of replay-dependent plasticity mechanisms,2026,Colin Bredenberg; Fabrice Normandin; Blake Richards; Guillaume Lajoie,candidate_paper_corpus | disorder:paper_library
5,10.1007/s43440-025-00817-3,25I-NBOMe,,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior,2026,Zuzanna Kościuk; Izabela Szpręgiel; Agnieszka Bysiek; K. Gołembiowska,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
6,10.1007/s00204-025-04255-1,ETH-LAD,,"The toxicity of psychedelic LSD derivatives: 1-acetyl-LSD (ALD-52), 1-propionyl-LSD (1P-LSD), 1-butyryl-LSD (1B-LSD), 1-valeryl-LSD (1V-LSD) and 1-cyclopropylmethanoyl-LSD (1cP-LSD)—prediction of toxicological parameters relevant to clinical and forensic toxicology using multi-in silico approach",2026,Kamil Jurowski; Alicja Krośniak; Damian Kobylarz; Oktawia Fijałkowska,candidate_paper_corpus | disorder:paper_library
8,10.3390/ijms26062815,25I-NBOMe,,Acute Effects of the Psychedelic Phenethylamine 25I-NBOMe in C57BL/6J Male Mice,2025,Sabrine Bilel; Cristina Miliano; Giorgia Corli; M. Bassi; Massimo Trusel; Raffaella Tonini; Maria Antonietta De Luca; Matteo Marti,candidate_paper_corpus | mechanistic:paper_library
13,10.5463/thesis.1157,DOET,,Can fat cell hormones make you happy?,2025,M Andĕl,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
16,10.1007/s40262-024-01450-8,5-MeO-DiPT,,"Clinical Pharmacokinetics of N,N-Dimethyltryptamine (DMT): A Systematic Review and Post-hoc Analysis",2025,Katelijne V. van der Heijden; Marije E. Otto; Jan W. Schoones; Michiel J. van Esdonk; Laura Borghans; J. G. Coen van Hasselt; Joop van Gerven; Gabriel Jacobs,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
18,10.1016/j.pscia.2025.100073,DOM,,"D-pinitol modulates the anti-emetic effects of aprepitant, domperidone, and ondansetron in chicks",2025,Md Asfaquar Rahman; Md. Anisur Rahman; Salehin Sheikh; Md Jannatul Islam Polash; Sozoni Khatun; Mst. Sonia Akter Bristi; Md. Showkoth Akbor; Mst. Farjanamul Haque; Mehedi Hasan Bappi; Tohidul Islam Tanim,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
24,10.1038/s41557-024-01714-7,Noribogaine,,Efficient and modular synthesis of ibogaine and related alkaloids,2025,Rishab N. Iyer; David Favela; Andras Domokos; Guoliang Zhang; Arabo A. Avanes; Samuel J. Carter; Andrian G. Basargin; Alexis R. Davis; Dean J. Tantillo; David E. Olson,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
25,10.1101/2025.07.05.663289,5-MeO-DiPT,,Electrophysiological Mechanisms of Psychedelic Drugs: A Systematic Review,2025,Javier Hidalgo Jiménez; Kristjan Kaup; Jaan Aru,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
26,10.1016/j.tips.2025.08.012,Bufotenin,,Emerging mechanisms of psilocybin-induced neuroplasticity,2025,Sonia Sonda; Diana Pendin; Stefano Comai; Sara De Martin; Paolo Manfredi; Andrea Mattarei,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
29,10.1111/bph.70109,25B-NBOMe,,Evidence that 5‐HT<sub>2A</sub> receptor signalling efficacy and not biased agonism differentiates serotonergic psychedelic from non‐psychedelic drugs,2025,Aurelija Ippolito; Sridhar R. Vasudevan; Shaun Hurley; Gary Gilmour; Frederick G. Westhorpe; Grant C. Churchill; Trevor Sharp,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
30,10.1021/acsptsci.5c00255,25I-NBOMe,,Females in Psychedelic Research: A Perspective for Advancing Research and Practice,2025,Zahira Z. Cohen; Grace Blest‐Hopley,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
34,10.3390/molecules30132824,Ketamine,,"Ketamine—From an Anesthetic to a Psychiatric Drug: Mechanisms of Action, Clinical Applications and Potential Risks",2025,Ewa Gibuła‐Tarłowska; Anna Wiszniewska; Magdalena Turyk; Paulina Szymczyk; Jolanta H. Kotlińska; Ewa Kędzierska,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
37,10.3390/biomedicines13020422,DOET,,Microbiome Integrity Enhances the Efficacy and Safety of Anticancer Drug,2025,Alice Njolke Mafe; Dietrich Büsselberg,candidate_paper_corpus | mechanistic:paper_library
38,10.21275/sr25326042052,Bufotenin,,Molecular Insight into the Interaction between Different Classes of Psychoplastogens and Serotonin 5-HT2A Receptor,2025,David Nisenboim,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
39,10.1111/bph.70050,25B-NBOMe,,Neuropsychopharmacology of hallucinogenic and non‐hallucinogenic 5‐HT<sub>2A</sub> receptor agonists,2025,Trevor Sharp; Aurelija Ippolito,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
42,10.51847/utxcclcwdu,DOET,,"Population-Specific Variants in the Human Kinome: Insights from the IndiGen Cohort Reveal Distinct Sequence, Structural, and Pharmacogenomic Implications for Drug Response in India",2025,Andre Pacheco; José Cardoso; Miguel A. Faria; Rui Santos‐Tavares,candidate_paper_corpus | mechanistic:paper_library
43,10.1002/prp2.70079,25I-NBOMe,,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ‐ and MES‐Induced Seizures in Mice via 5‐HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways",2025,Mohammad Balabandian; Mohammad Amin Manavi; Ali Lesani; Razieh Mohammad Jafari; Hamed Shafaroodi; Neda Heidari; Javad Mirnajafi‐Zadeh; Alireza Foroumadi; Arya Afrooghe; Ahmad Reza Dehpour,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
44,10.1021/acsptsci.5c00462,DiPT,,"Psilocybin Enhances Cued Fear Extinction and Extinction Recall in Stress-Naïve, Acutely Stressed, and Chronically Stressed Mice",2025,John A. Razidlo; Noelle Cataldo; Cody J. Wenthur,candidate_paper_corpus | disorder:paper_library
45,10.1177/02698811251330783,25B-NBOMe,,Psilocybin and ketamine affect novel neuropeptides gene expression in the rat hypothalamus,2025,Artur Pałasz; Marta Pukowiec; Katarzyna Bogus; Aleksandra Suszka‐Świtek; Łukasz Filipczyk; Kinga Mordecka‐Chamera; John J. Worthington; Maria Sygidus; Adam Wojtas; Agnieszka Bysiek,candidate_paper_corpus | mechanistic:paper_library
46,10.3390/brainsci15020117,Psilocin,,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications,2025,Francesco Weiss; Anna Magnesa; Matteo Gambini; Riccardo Gurrieri; E. Annuzzi; Camilla Elefante; Giulio Perugi; Donatella Marazziti,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
47,10.1111/bph.70088,Bromo-DragonFLY,,"Psychedelics, entactogens and psychoplastogens for depression and related disorders",2025,Daniël Hoyer,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | disorder:stubs | mechanistic:paper_library
48,10.3390/ph18101555,25I-NBOMe,,"Review of Selected 2-Phenylethylamine Derivatives and Opioids, Systematic Review of Their Effects on Psychomotor Abilities and Driving Performance: Psychopharmacology in the Context of Road Safety",2025,Kacper Żełabowski; Kamil Biedka; Wojciech Pichowicz; Maria Sterkowicz; Izabela Radzka; Ignacy Ilski; Michał Wesołowski; Kacper Wojtysiak; Wiktor Petrov; Dawid Ślebioda,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
49,10.1097/jcp.0000000000002047,DiPT,,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Subcutaneous RE104",2025,Guy Ludbrook; Nathan Bryson; Beatrix Taylor; Jasna Hocevar‐Trnka; Matthew W. Johnson; Joe Hirman; Glynn Morrish; Robert Alexander; Mark H. Pollack,candidate_paper_corpus | disorder:paper_library
50,10.1038/s41380-025-03325-1,DOET,,"The 4-alkyl chain length of 2,5-dimethoxyamphetamines differentially affects in vitro serotonin receptor actions versus in vivo psychedelic-like effects",2025,Dino Luethi; Grant C. Glatfelter; Eline Pottie; Francesca Sellitti; Alexander D. Maitland; Nicholas R. Gonzalez; Lindsay A. Kryszak; Shelley N. Jackson; Marius C. Hoener; Christophe P. Stove,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
51,10.1021/acsptsci.5c00445,DPT,,The Causal Role of Consciousness in Psychedelic Therapy for Treatment-Resistant Depression: Hypothesis and Proposal,2025,Tobías Fernández‐Borkel; Lucas F. Borkel; Jaime Rojas‐Hernández; Elisa Hernández‐Álvarez; Domingo Jesús Quintana Hernández; Ludovica G. Ponti; Luis Alberto Henríquez‐Hernández,candidate_paper_corpus | disorder:curated | disorder:exploratory | disorder:paper_library
52,10.3390/brainsci15101056,Noribogaine,,The Role of Psychedelics in the Treatment of Substance Use Disorders: An Overview of Systematic Reviews,2025,Sabrina Corrêa da Costa; Nicholas L. Bormann; Tyler Oesterle; Michele McGinnis; Ming‐Fen Ho; Sara A. Vettleson-Trutza; Teresa A. Rummans; Mark S. Gold,candidate_paper_corpus | disorder:paper_library
53,10.3390/medicina61020278,Noribogaine,,The Therapeutic Potential of Psychedelics in Treating Substance Use Disorders: A Review of Clinical Trials,2025,Lavinia Hogea; Dana Cătălina Tabugan; Iuliana Costea; Oana Albai; Laura Alexandra Nussbaum; Adriana Cojocaru; Leonardo Corsaro; Teodora Anghel,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library
