# new DOI queue (mechanistic) generated at 2026-05-15T06:52:01.521803+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.11588/heidok.00038014,,DAT (SLC6A3),Behavioral and Molecular Mechanisms of Cocaine Addiction Vulnerability: Functional Evidence from Rodent Models,2026,Veronika Pohořalá
10.3390/biology15100745,,SERT (SLC6A4),Depression in Autism Spectrum Disorder: Neurobiological Convergence and Emerging Therapeutic Strategies,2026,Seham M. Al Raish; Mustafa M Shokr; Reem M Eladawy; Yasmena O. Azar
10.3390/ph19030511,,TrkB (NTRK2),Genetic Polymorphisms Associated with Lithium Response in Bipolar Disorder: An Integrative Review and In Silico Protein–Protein Interaction Analysis,2026,Ovinuchi Ejiohuo; Aleksandra Szczepankiewicz
10.64898/2026.03.19.712961,,TrkB (NTRK2),Integrated 5-HT <sub>2A</sub> –TrkB and G protein signaling in serotonergic psychedelic responses,2026,Marco Taddei-Tardon; Lidia Medina-Rodríguez; Jessica L. Maltman; Sarah Hudson; Sritanvi Potukanuma; Javier Hidalgo Jiménez; Sandra M. Martin-Guerrero; Javier Gonzalez-Maeso; Juan F Lopez-Gimenez
10.3389/fncel.2026.1774384,,D1 receptor (DRD1),"Mu-opioid and nociceptin receptors show divergent, cell-type-specific actions in the mesocorticolimbic reward system in opioid use disorder",2026,Marie‐Charlotte Allichon; Jeanne Espinosa; Rebecca H. Cole; M. K. Ko; Peter Vanhoutte; Max E. Joffe
10.3390/ph19050662,,SERT (SLC6A4),The Monoamine–Glutamate Continuum of Depression: A Neurobiological Framework for Precision Psychiatry,2026,Pietro Carmellini; Alessandro Cuomo; Maria Beatrice Rescalli; Mario Pinzi; Afendra Dourmas; Andrea Fagiolini
10.1038/s41386-026-02372-8,,kappa opioid receptor (OPRK1),Triazole 187 is a biased KOR agonist that suppresses itch without sedation and induces anxiolytic-like behaviors in mice,2026,Allison Volf; Tarsis F. Brust; Robin R. Kobylski; Kerri M. Czekner; Edward L. Stahl; Michael D. Cameron; Ashley E. Trojniak; Abigale B. Wood; Jeffrey Aubé; Laura Bohn
10.1111/bph.70284,,DAT (SLC6A3),Evaluation of preclinical antipsychotic models used to support first‐in‐human clinical trials,2025,Thi Viet Ha Nguyen; D. McKernan; John P. Kelly
10.1002/2211-5463.70135,,TrkB (NTRK2),Molecular determinants of signal transduction in tropomyosin receptor kinases,2025,Giray Enkavi
10.3390/jpm15120616,,SERT (SLC6A4),"Personalizing Antidepressant Therapy: Integrating Pharmacogenomics, Therapeutic Drug Monitoring, and Digital Tools for Improved Depression Outcomes",2025,Mikhail Parshenkov; S. К. Zyryanov; G. М. Rodionova; Anna Dyakonova; Petr Shegay; А. Д. Каприн; Grigory Demyashkin
10.1101/2025.02.03.636248,,TrkB (NTRK2),Psilocybin as a Treatment for Repetitive Mild Head Injury: Evidence from Neuroradiology and Molecular Biology,2025,Eric Brengel; Bryce Axe; Ashwath Maheswari; Muhammad Abeer; Richard J. Ortiz; Taylor J. Woodward; Reagan Walhof; Rachel Utama; Courtney Sawada; Shreyas Balaji
10.1038/s41586-025-08880-9,,TrkB (NTRK2),Psychedelic control of neuroimmune interactions governing fear,2025,Elizabeth N Chung; Jinsu Lee; Carolina Manganeli Polonio; Joshua Choi; Camilo Faust Akl; Michael Kilian; Wiebke M. Weiß; Georgia Gunner; Mingyu Ye; Tae Hyun Heo
10.1007/s00210-025-03851-3,,Sigma-1 receptor (SIGMAR1),Targeting the sigma-1 receptor with pridopidine induces functional neurorestoration in spinal cord ischemia-reperfusion injury,2025,Eman Sweed; Suzan A Khodir; Shaimaa M. Motawea; Hala El-Haroun; Basma Abdelnaby Mostafa; Mona S. Elkholy; Mohammud Ahmud Salim; Doaa Z. M. Shebl
10.1016/j.bcp.2025.117632,,SERT (SLC6A4),Time-specific perturbation of the serotonergic system differentially modulates the transcriptional landscape of hippocampal subregions in female rats,2025,Maria Teresa Gallo; Alessia Golinelli; Camilla Rizzi; Fabio Fumagalli; Judith R. Homberg; Paola Brivio; Francesca Calabrese
10.1016/j.toxrep.2025.101936,,5-HT5A,Valerenic acid ameliorates amphetamine-related neurotoxicity by improving hypothalamus tyrosine hydroxylase and histamine-N-methyl transferase enzymes,2025,Khaled M. M. Koriem; Ammar H A Naiem
10.3390/molecules29081739,,5-HT6,Discovery of a Novel Chemo-Type for TAAR1 Agonism via Molecular Modeling,2024,Giancarlo Grossi; Naomi Scarano; Francesca Musumeci; Michele Tonelli; Evgeny Kanov; Anna Carbone; Paola Fossa; Raul R. Gainetdinov; Elena Cichero; Silvia Schenone
10.1038/s41592-024-02188-8,,5-HT2C,Improved green and red GRAB sensors for monitoring spatiotemporal serotonin release in vivo,2024,Fei Deng; Jinxia Wan; Guochuan Li; Hui Dong; Xiju Xia; Yipan Wang; Xuelin Li; Chaowei Zhuang; Yu Zheng; L.D. Liu
10.1556/2054.2024.00343,,SERT (SLC6A4),"Ketamine and epigenetic processes in depression, intersection between serotonergic and glutamatergic pathways",2024,Arghavan Nepton; Hesam Farahani; Monnica T. Williams; Linda Booij; Sonya C. Faber
10.17760/d20652996,,5-HT1F,Molecular pharmacology of novel 2-aminotetralins targeting alpha2-adrenergic G-protein-coupled Receptors,2024,Nicholas Ronald Fragola
10.1016/j.bbadis.2024.167193,,Sigma-1 receptor (SIGMAR1),The IRE1α-XBP1 arm of the unfolded protein response is a host factor activated in SARS-CoV-2 infection,2024,José Javier Fernández; Arturo Marín; Romel Rosales; Rebekah Penrice-Randal; Petra Mlčochová; Yolanda Álvarez; Fernando Villalón‐Letelier; Soner Yildiz; Enrique Pérez-Riesgo; Raveen Rathnasinghe
10.2217/epi-2023-0064,,mu opioid receptor (OPRM1),An Epigenetic Synopsis of Parental Substance Use,2023,Jamie O. Lo; R D'mello; Lester Watch; Danny J. Schust; Susan K. Murphy
10.1186/s12888-023-05094-z,,D2 receptor (DRD2),"Circadian, Reward, and Emotion Systems in Teens prospective longitudinal study: protocol overview of an integrative reward-circadian rhythm model of first onset of bipolar spectrum disorder in adolescence",2023,Lauren B. Alloy; Rachel F.L. Walsh; Logan Smith; Mackenzie A. Maddox; Thomas M. Olino; Phyllis C. Zee; Robin Nusslock
10.1021/acschemneuro.3c00206,,Sigma-1 receptor (SIGMAR1),Development of a Novel σ<sub>1</sub> Receptor Biosensor Based on Its Heterodimerization with Binding Immunoglobulin Protein in Living Cells,2023,Xavier Morató; Víctor Fernández‐Dueñas; Pilar Pérez-Villamor; Marta Valle-León; José Miguel Vela; Manuel Merlos; Javier Burgueño; Francisco Ciruela
10.3389/fncel.2023.1289966,,TrkB (NTRK2),Genetic knockout of NTRK2 by CRISPR/Cas9 decreases neurogenesis and favors glial progenitors during differentiation of neural progenitor stem cells,2023,Audrey Roussel-Gervais; Stéphanie Sgroi; Yves Cambet; Sylvain Lemeille; Tamara Seredenina; Karl‐Heinz Krause; Vincent Jaquet
10.3389/fnmol.2023.1225373,,TrkB (NTRK2),Neurotrophin signalling in the human nervous system,2023,Sarah Ateaque; Spyros Merkouris; Yves‐Alain Barde
10.1016/j.tibs.2023.05.011,,SERT (SLC6A4),Targeting SLC transporters: small molecules as modulators and therapeutic opportunities,2023,Avner Schlessinger; Nicole Zatorski; Keino Hutchinson; Claire Colas
10.35376/10324/61445,,Sigma-1 receptor (SIGMAR1),The IRE1-XBP1 Branch of the Unfolded Protein Response Underpins Cytokine Induction and Viral Replication in SARS-CoV-2 Infection,2023,José Javier Fernández Rodríguez
10.1038/s41401-023-01074-x,,D1 receptor (DRD1),α-MSH-catabolic enzyme prolylcarboxypeptidase in nucleus accumbens shell ameliorates stress susceptibility in mice through regulating synaptic plasticity,2023,Qiao Deng; S. Zhang; Ping‐Fen Yang; Wanting Dong; Fang Wang; Li‐Hong Long; Jianguo Chen
10.3389/fnmol.2022.810641,,TrkB (NTRK2),New Insights Into the Pivotal Role of CREB-Regulated Transcription Coactivator 1 in Depression and Comorbid Obesity,2022,Clara Rossetti; Antoine Cherix; Laetitia Guiraud; Jean‐René Cardinaux
