# discovered queue (mechanistic) generated at 2026-05-15T07:02:12.713593+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.11588/heidok.00038014,LSD,DAT (SLC6A3),Behavioral and Molecular Mechanisms of Cocaine Addiction Vulnerability: Functional Evidence from Rodent Models,2026,Veronika Pohořalá
10.1038/s41467-026-71574-x,Psilocybin,D1 receptor (DRD1),CB1 receptor signaling at the cingulate-striatal circuit is anxiogenic,2026,Thomas J. Kelly; Xiaojie Liu; Yao Huang; Ying Hu; Vladislav Friedman; Cecilia J. Hillard; Qing-song Liu
10.25593/open-fau-2619,LSD,5-HT5A,Effects of Serotonergic Psychedelics on Synaptic Function and Neuroplasticity,2026,Aneta Petrušková
10.20944/preprints202602.1080.v1,LSD,CB1 receptor (CNR1),Endocannabinoid Enhancement via MAGL Inhibition in CDKL5 Deficiency: Selective Cellular Benefits and Constrained Functional Impact in &lt;em&gt;Cdkl5&lt;/em&gt; KO Mice,2026,Manuela Loi; Nicola Mottolese; Giorgio Medici; Feliciana Iannibelli; Nicolò Interino; Giulia Candini; Federica Trebbi; Angelica Marina Bove; Jessica Fiori; Stefania Trazzi
10.5282/edoc.36718,LSD,Sigma-1 receptor (SIGMAR1),Epilepsie-assoziierte Veränderungen der Sigma-1-Expression in chronischen Mausmodellen der Temporallappenepilepsie,2026,Victoria Magna Stocker
10.21203/rs.3.rs-8913130/v1,LSD,TrkB (NTRK2),H3K9me3 inhibition reverses Alzheimer′s progression by restoring synaptic and immune proteostasis across the brain–retina axis,2026,Maya Koronyo-Hamaoui; Dieu‐Trang Fuchs; Jean‐Philippe Vit; Altan Rentsendorj; Yosef Koronyo; Julia Sheyn; Bhakta Prasad Gaire; Saba Shahin; Haoshen Shi; Oksana Chepurna
10.3390/ijms27010465,Psilocybin,5-HT6,Harnessing Dietary Tryptophan: Bridging the Gap Between Neurobiology and Psychiatry in Depression Management,2026,Amanda Chabrour Chehadi; Enzo Pereira de Lima; Cláudia Rucco Penteado Detregiachi; Rafael Santos de Argollo Haber; Virgínia Maria Cavallari Strozze Catharin; Lucas Fornari Laurindo; Vítor Engrácia Valenti; Cristiano Machado Galhardi; Masaru Tanaka; Sandra Maria Barbalho
10.64898/2026.03.19.712961,LSD,TrkB (NTRK2),Integrated 5-HT <sub>2A</sub> –TrkB and G protein signaling in serotonergic psychedelic responses,2026,Marco Taddei-Tardon; Lidia Medina-Rodríguez; Jessica L. Maltman; Sarah Hudson; Sritanvi Potukanuma; Javier Hidalgo Jiménez; Sandra M. Martin-Guerrero; Javier Gonzalez-Maeso; Juan F Lopez-Gimenez
10.1038/s41467-026-68763-z,Psilocybin,5-HT1D,No evidence of immediate or persistent analgesic effect from a single dose of psilocybin in three mouse models of pain,2026,Nicholas Gregory; Tyler E. Girard; Akila Ram; Austen B. Casey; RC Malenka; Vivianne L. Tawfik; Boris D. Heifets
10.3390/biomedicines14020476,LSD,kappa opioid receptor (OPRK1),Opioid Receptors in Psychedelia: Indirect Serotonergic Modulation of Direct KOR Activation by Salvinorin A,2026,Maximiliano Ganado; Carmen Rubio; Javier Pérez-Villavicencio; Norma Serrano; Héctor Romo-Parra; Ángel Lee; Moisés Rubio-Osornio
10.7759/cureus.100719,Psilocybin,SERT (SLC6A4),"Safety Concerns, Mechanistic Pathways, and Knowledge Gaps in the Clinical Use of Selective Serotonin Reuptake Inhibitors",2026,Adrian Chin Yan Chan
10.64898/2026.04.16.718915,LSD,5-HT1D,Serotonergic Polypharmacology of 2-Halogenated Tryptamines,2026,Jeanine Yacoub; Elena Bray; Jude Bayyat; Grant C. Glatfelter; Alex Leake; Emilia M Buitrago; Alexander D. Maitland; John Partilla; Natalie G. Cavalco; Serena S. Schalk
10.1038/s41380-026-03447-0,Psilocybin,5-HT1D,Spatiotemporal mapping of brain organisation following the administration of 2C-B and psilocybin,2026,Pablo Mallaroni; S. Parker Singleton; Natasha L. Mason; Theodore D. Satterthwaite; Johannes G. Ramaekers
10.1038/s41380-025-03128-4,Psilocybin,SERT (SLC6A4),5-HT2C receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2025,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Hiroaki Sacai; Daniel Ryskamp Rijsketic; Tuuli M. Hietamies; Gavin Touponse; Daniel F. Cardozo Pinto
10.2218/gtopdb/f1/2025.3,LSD,5-HT1E,5-Hydroxytryptamine receptors in GtoPdb v.2025.3,2025,Ricardo Andrade; P.P.A. Humphrey; Klaus Peter Latté; Luc Maroteaux; Graeme R. Martin; Derek N. Middlemiss; Ewan J. Mylecharane; John F. Neumaier; Stephen J. Peroutka; John A. Peters
10.3389/fnins.2025.1587794,Psilocybin,D4 receptor (DRD4),"A review of the neuroscience of religion: an overview of the field, its limitations, and future interventions",2025,Harrison M. Carvour; Anna K. Radke; N French
10.3390/ijms26062815,LSD,mu opioid receptor (OPRM1),Acute Effects of the Psychedelic Phenethylamine 25I-NBOMe in C57BL/6J Male Mice,2025,Sabrine Bilel; Cristina Miliano; Giorgia Corli; M. Bassi; Massimo Trusel; Raffaella Tonini; Maria Antonietta De Luca; Matteo Marti
10.1176/appi.ajp.20230890,Psilocybin,5-HT1A,"Benefits and Challenges of Ultra-Fast, Short-Acting Psychedelics in the Treatment of Depression",2025,Johannes G. Ramaekers; Johannes T. Reckweg; Natasha L. Mason
10.1038/s41386-025-02219-8,LSD,TrkB (NTRK2),Chronic treatment with fluoxetine regulates mitochondrial features and plasticity-associated transcriptomic pathways in parvalbumin-positive interneurons of prefrontal cortex,2025,Elias Jetsonen; Giuliano Didio; Ilida Suleymanova; Indrek Teino; Eero Ċastrén; Juzoh Umemori
10.1038/s41467-025-63314-4,LSD,D1 receptor (DRD1),Dopaminergic signaling regulates microglial surveillance and adolescent plasticity in the mouse frontal cortex,2025,Rianne Stowell; Kuan Hong Wang
10.12804/revistas.urosario.edu.co/apl/a.13339,Psilocybin,5-HT5A,"Efecto y potencia de los psicodélicos a nivel psicofarmacológico, psicológico y neurobiológico",2025,Guillermo Alonso Castaño Pérez; Sebastián Iguarán; L. A. Murillo; Daniel Espinosa Duque
10.3389/fmars.2025.1578762,LSD,DAT (SLC6A3),Effect of environmentally relevant concentrations of estrogens on the aggressive response of male zebrafish,2025,Yingying Zhang; Hong Tao; Yanjun Shen; Qi–Liang Chen; Zhihao Liu
10.1007/s00213-025-06856-1,Psilocybin,5-HT1D,Effects of selected alkaloids on postnatal neurogenesis - in vivo and in vitro studies - literature review,2025,Bartłomiej Kwiatkowski; Natalia Biedroń; Urszula Gawryś; Wiktoria Tochman; Alicja Szklarska; Dorota Luchowska-Kocot
10.1111/bph.70284,LSD,DAT (SLC6A3),Evaluation of preclinical antipsychotic models used to support first‐in‐human clinical trials,2025,Thi Viet Ha Nguyen; D. McKernan; John P. Kelly
10.1038/s41573-024-01083-3,LSD,D1 receptor (DRD1),Functional dynamics of G protein-coupled receptors reveal new routes for drug discovery,2025,Paolo Conflitti; Edward Lyman; Mark S.P. Sansom; Peter W. Hildebrand; Hugo Gutiérrez‐de‐Terán; Paolo Carloni; T. Bertie Ansell; Shuguang Yuan; Patrick Barth; Anne S. Robinson
10.12688/f1000research.160416.2,Psilocybin,5-HT6,"Ginkgo Biloba as a niche theme cognitive enhancer agent, 1420 dokumen of Scopus database. A bibliometric study from 1988 to 2024",2025,ARMAN YURISALDI SALEH; Dwi Arwandi Yogi Saputra; Riezky Valentina; Tirta Darmawan Susanto
