line_no,doi,compound,entity,title,year,authors,existing_sources
3,10.1038/s41380-025-03128-4,MDMA,SERT (SLC6A4),5-HT2C receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2025,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Hiroaki Sacai; Daniel Ryskamp Rijsketic; Tuuli M. Hietamies; Gavin Touponse; Daniel F. Cardozo Pinto,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
4,10.1101/2025.02.13.638096,LSD,mGluR2 (GRM2),"Nitrous oxide modulates cortical activity, wake–sleep oscillations, and produces antidepressant-like effects in mice",2025,Samuel Kohtala; Puja K. Parekh; Iman Baramaki; Piia Kohtala; Liisa Ilkka; Hanna Antila; Francis S. Lee; Conor Liston,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
5,10.1016/j.neuron.2025.01.002,LSD,mGluR2 (GRM2),Projection-targeted photopharmacology reveals distinct anxiolytic roles for presynaptic mGluR2 in prefrontal- and insula-amygdala synapses,2025,Hermany Munguba; Ipsit Srivastava; Vanessa A. Gutzeit; Ashna Singh; Akshara Vijay; Melanie Kristt; Anisul Arefin; Sonal Thukral; Johannes Broichhagen; Joseph M. Stujenske,candidate_paper_corpus | mechanistic:paper_library
6,10.7554/elife.104006,Psilocybin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,Malin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus W. Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr; Philipp Koch,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
7,10.7554/elife.104006.1,Psilocybin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,Målin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus W. Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr; Philipp Koch,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
8,10.1002/prp2.70079,Psilocybin,5-HT2A,"Psilocin, A Psychedelic Drug, Exerts Anticonvulsant Effects Against PTZ‐ and MES‐Induced Seizures in Mice via 5‐HT1A and CB1 Receptors: Involvement of Nitrergic, Opioidergic, and Kynurenine Pathways",2025,Mohammad Balabandian; Mohammad Amin Manavi; Ali Lesani; Razieh Mohammad Jafari; Hamed Shafaroodi; Neda Heidari; Javad Mirnajafi‐Zadeh; Alireza Foroumadi; Arya Afrooghe; Ahmad Reza Dehpour,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
9,10.3390/brainsci15020117,Psilocin,5-HT1A,Psychedelic-Induced Neural Plasticity: A Comprehensive Review and a Discussion of Clinical Implications,2025,Francesco Weiss; Anna Magnesa; Matteo Gambini; Riccardo Gurrieri; E. Annuzzi; Camilla Elefante; Giulio Perugi; Donatella Marazziti,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
10,10.1186/s40035-025-00498-1,MDMA,SERT (SLC6A4),Psychoactive substances: novel molecular insights and therapeutic potential for Alzheimer's disease,2025,Chong-Lei Fu; Xuehui Li; Xiaoxing Liu; Yongbo Zheng; Xiangxian Ma; Bo Zhang; Si Chen; Lingming Hu; Sizhen Su; Xiaokun Wang,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
11,10.1176/appi.ajp.20240378,R-ketamine,NMDA receptor,Redefining Ketamine Pharmacology for Antidepressant Action: Synergistic NMDA and Opioid Receptor Interactions?,2025,Marjorie R. Levinstein; Reece C. Budinich; Jordi Bonaventura; Alan F. Schatzberg; Carlos A. Zarate; Michel Michaelides,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
12,10.31083/fbl26637,LSD,mGluR2 (GRM2),mGlu2 Receptors in the Basal Ganglia: A New Frontier in Addiction Therapy,2025,Li-Min Mao; Elizabeth A. Puthumana; John Q. Wang,candidate_paper_corpus | mechanistic:paper_library
13,10.3390/ijms25126804,R-ketamine,NMDA receptor,(R)-(-)-Ketamine: The Promise of a Novel Treatment for Psychiatric and Neurological Disorders,2024,Hana Shafique; Julie Demers; Julia Biesiada; Lalit K. Golani; Rok Cerne; Jodi L. Smith; Marta Szostak; Jeffrey M. Witkin,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
14,10.1101/2024.10.20.619256,MDMA,SERT (SLC6A4),5-HT <sub>2C</sub> receptors in the nucleus accumbens constrain the rewarding effects of MDMA,2024,Matthew B. Pomrenze; Sam Vaillancourt; Juliana S. Salgado; Kendall B. Raymond; Pierre Llorach; Gavin Touponse; Daniel F. Cardozo Pinto; Z. Rastegar; Austen B. Casey; Neir Eshel,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
15,10.3390/ijms25020687,Ibogaine,kappa opioid receptor (OPRK1),5-HT2A Receptor Knockout Mice Show Sex-Dependent Differences following Acute Noribogaine Administration,2024,Sofía Villalba; Bruno González; Stephanie Junge; Alejandra Bernardi; Joaqúın González; Catherine Fagúndez; Pablo Torterolo; Ignacio Carrera; Francisco J. Urbano; Verónica Bisagno,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
16,10.1038/s41386-024-02013-y,LSD,mGluR2 (GRM2),ACNP 63rd Annual Meeting: Poster Abstracts P609-P914,2024,"Jakienė, Vilma; Fineberg, Naomi; Podlipskytė, Aurelija; Gečaitė-Stončienė, Julija; Juškienė, Alicja; Steiblienė, Vesta; Burkauskas, Julius",candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
17,10.1007/s00406-024-01770-7,R-ketamine,NMDA receptor,Are “mystical experiences” essential for antidepressant actions of ketamine and the classic psychedelics?,2024,Kenji Hashimoto,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
18,10.1021/acs.jmedchem.3c02239,S-ketamine,NMDA receptor,Chirality of New Drug Approvals (2013–2022): Trends and Perspectives,2024,Rebecca McVicker; Niamh M. O’Boyle,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
19,10.2147/prbm.s445719,MDMA,SERT (SLC6A4),Chronic Methylphenidate Effects on Brain Gene Expression: An Exploratory Review,2024,Shannon G. Klein; Kenneth Blum; Mark S. Gold; Panayotis K. Thanos,candidate_paper_corpus | mechanistic:paper_library
20,10.1007/s40263-024-01101-3,Ibogaine,kappa opioid receptor (OPRK1),"Current Perspectives on the Clinical Research and Medicalization of Psychedelic Drugs for Addiction Treatments: Safety, Efficacy, Limitations and Challenges",2024,Anton Gomez-Escolar; Daniel Folch‐Sanchez; Joanna Stefaniuk; Zoe Swithenbank; Andreia Nisa; Fleur Braddick; Nazish Idrees Chaudhary; Pim B. van der Meer; Albert Batalla,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
21,10.3389/fnins.2024.1378841,Ibogaine,kappa opioid receptor (OPRK1),"Ibogaine administration following repeated morphine administration upregulates myelination markers 2′, 3′-cyclic nucleotide 3′-phosphodiesterase (CNP) and myelin basic protein (MBP) mRNA and protein expression in the internal capsule of Sprague Dawley rats",2024,D. Govender; Leila Moloko; Maria A. Papathanasopoulos; Nancy Tumba; Gavin Owen; Tanya Calvey,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
22,10.1002/cpt.3478,R-ketamine,NMDA receptor,"Ketamine and Esketamine in Clinical Trials: <scp>FDA‐</scp>Approved and Emerging Indications, Trial Trends With Putative Mechanistic Explanations",2024,K. A. Vekhova; Eugenia D. Namiot; Jörgen Jönsson; Helgi B. Schiöth,candidate_paper_corpus | disorder:curated | disorder:paper_library | disorder:stubs | mechanistic:paper_library
23,10.1016/j.jatmed.2024.07.001,R-ketamine,NMDA receptor,Ketamine and its two enantiomers in anesthesiology and psychiatry: A historical review and future directions,2024,Kenji Hashimoto; Mingming Zhao; Tingting Zhu; Xingming Wang; Jianjun Yang,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | mechanistic:exploratory | mechanistic:paper_library
24,10.3390/biomedicines12102283,R-ketamine,NMDA receptor,"Ketamine, Esketamine, and Arketamine: Their Mechanisms of Action and Applications in the Treatment of Depression and Alleviation of Depressive Symptoms",2024,Piotr Kawczak; Igor Feszak; Tomasz Bączek,candidate_paper_corpus | disorder:curated | disorder:paper_library | mechanistic:paper_library
25,10.1038/s41467-023-44637-6,MDMA,SERT (SLC6A4),Ligand coupling mechanism of the human serotonin transporter differentiates substrates from inhibitors,2024,Ralph Gradisch; Katharina Schlögl; Erika Lazzarin; Marco Niello; Julian Maier; Felix P. Mayer; Letícia Alves da Silva; Sophie M.C. Skopec; Randy Blakely; Harald H. Sitte,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
26,10.1038/s41392-024-01738-y,S-ketamine,NMDA receptor,"Major depressive disorder: hypothesis, mechanism, prevention and treatment",2024,Lulu Cui; Shu Li; Siman Wang; Xiafang Wu; Yingyu Liu; Weiyang Yu; Yijun Wang; Yong Tang; Maosheng Xia; Baoman Li,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
27,10.1177/02698811231225609,LSD,5-HT2A,Microdosing psychedelics and the risk of cardiac fibrosis and valvulopathy: Comparison to known cardiotoxins,2024,Antonin Rouaud; Abigail E. Calder; Gregor Hasler,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
28,10.1038/s41467-023-44601-4,DMT,TAAR1,Molecular basis of human trace amine-associated receptor 1 activation,2024,Gregory Zilberg; Alexandra Kalia Parpounas; Audrey L. Warren; Shifan Yang; Daniel Wacker,candidate_paper_corpus | mechanistic:paper_library
29,10.1186/s13195-024-01462-3,DMT,TAAR1,"N, N-Dimethyltryptamine, a natural hallucinogen, ameliorates Alzheimer’s disease by restoring neuronal Sigma-1 receptor-mediated endoplasmic reticulum-mitochondria crosstalk",2024,Dan Cheng; Zhuogui Lei; Kin Chu; O. Lam; Chun Yuan Chiang; Zhangjing Zhang,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
30,10.48550/arxiv.2411.19840,MDMA,SERT (SLC6A4),Neuroplasticity and Psychedelics: a comprehensive examination of classic and non-classic compounds in pre and clinical models,2024,Claudio Agnorelli; Meg J. Spriggs; Kate Godfrey; Gabriela Sawicka; Bettina Bohl; Hannah Douglass; Andrea Fagiolini; Hashemi Parastoo; Robin Carhart‐Harris; David Nutt,candidate_paper_corpus | mechanistic:paper_library
31,10.1038/s41467-024-51856-y,Ibogaine,kappa opioid receptor (OPRK1),Oxa-Iboga alkaloids lack cardiac risk and disrupt opioid use in animal models,2024,Václav Havel; Andrew C. Kruegel; Benjamin Bechand; Scot McIntosh; Leia S. Stallings; Alana Hodges; Madalee G. Wulf; Mel Nelson; Amanda Hunkele; Michael Ansonoff,candidate_paper_corpus | disorder:paper_library | mechanistic:curated | mechanistic:paper_library
32,10.1001/jamanetworkopen.2024.0953,R-ketamine,NMDA receptor,Perioperative Adjunctive Esketamine for Postpartum Depression Among Women Undergoing Elective Cesarean Delivery,2024,Yu Chen; Yu Guo; Han Wu; Yi-jie Tang; Suren R. Sooranna; Li Zhang; Ting Chen; Xiyuan Xie; Liangcheng Qiu; Xiaodan Wu,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
33,10.1038/s41380-024-02531-7,LSD,5-HT2A,Pharmacological fingerprint of antipsychotic drugs at the serotonin 5-HT2A receptor,2024,Supriya A. Gaitonde; Charlotte Avet; Mario de la Fuente Revenga; Élodie Blondel-Tepaz; Aida Shahraki; Adrian Morales Pastor; Valerij Talagayev; Patricia Robledo; Peter Kolb; Jana Selent,candidate_paper_corpus | mechanistic:paper_library
34,10.1021/acschemneuro.4c00405,Ibogaine,kappa opioid receptor (OPRK1),Predicting the Hallucinogenic Potential of Molecules Using Artificial Intelligence,2024,Fabio Urbina; Thane Jones; Joshua S. Harris; Scott H. Snyder; Thomas R. Lane; Sean Ekins,candidate_paper_corpus | mechanistic:paper_library
35,10.21203/rs.3.rs-4242829/v1,Psilocybin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2024,Målin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus W. Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr; Philipp Koch,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
