seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_00045,disorder,compound_broad,LSD clinical trial treatment efficacy safety,LSD,,indication,{compound} clinical trial treatment efficacy safety
disorder_00046,disorder,compound_broad,LSD therapy psychiatric neurological disorder outcome,LSD,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00047,disorder,compound_broad,LSD randomized placebo open label follow-up,LSD,,indication,{compound} randomized placebo open label follow-up
disorder_00048,disorder,compound_broad,Psilocybin clinical trial treatment efficacy safety,Psilocybin,,indication,{compound} clinical trial treatment efficacy safety
disorder_00049,disorder,compound_broad,Psilocybin therapy psychiatric neurological disorder outcome,Psilocybin,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00050,disorder,compound_broad,Psilocybin randomized placebo open label follow-up,Psilocybin,,indication,{compound} randomized placebo open label follow-up
disorder_00051,disorder,compound_broad,Psilocin clinical trial treatment efficacy safety,Psilocin,,indication,{compound} clinical trial treatment efficacy safety
disorder_00052,disorder,compound_broad,Psilocin therapy psychiatric neurological disorder outcome,Psilocin,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00053,disorder,compound_broad,Psilocin randomized placebo open label follow-up,Psilocin,,indication,{compound} randomized placebo open label follow-up
disorder_00054,disorder,compound_broad,Mescaline clinical trial treatment efficacy safety,Mescaline,,indication,{compound} clinical trial treatment efficacy safety
disorder_00055,disorder,compound_broad,Mescaline therapy psychiatric neurological disorder outcome,Mescaline,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00056,disorder,compound_broad,Mescaline randomized placebo open label follow-up,Mescaline,,indication,{compound} randomized placebo open label follow-up
disorder_00057,disorder,compound_broad,DMT clinical trial treatment efficacy safety,DMT,,indication,{compound} clinical trial treatment efficacy safety
disorder_00058,disorder,compound_broad,DMT therapy psychiatric neurological disorder outcome,DMT,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00059,disorder,compound_broad,DMT randomized placebo open label follow-up,DMT,,indication,{compound} randomized placebo open label follow-up
disorder_00060,disorder,compound_broad,5-MeO-DMT clinical trial treatment efficacy safety,5-MeO-DMT,,indication,{compound} clinical trial treatment efficacy safety
disorder_00061,disorder,compound_broad,5-MeO-DMT therapy psychiatric neurological disorder outcome,5-MeO-DMT,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00062,disorder,compound_broad,5-MeO-DMT randomized placebo open label follow-up,5-MeO-DMT,,indication,{compound} randomized placebo open label follow-up
disorder_00063,disorder,compound_broad,Bufotenin clinical trial treatment efficacy safety,Bufotenin,,indication,{compound} clinical trial treatment efficacy safety
disorder_00064,disorder,compound_broad,Bufotenin therapy psychiatric neurological disorder outcome,Bufotenin,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00065,disorder,compound_broad,Bufotenin randomized placebo open label follow-up,Bufotenin,,indication,{compound} randomized placebo open label follow-up
disorder_00066,disorder,compound_broad,Ayahuasca clinical trial treatment efficacy safety,Ayahuasca,,indication,{compound} clinical trial treatment efficacy safety
disorder_00067,disorder,compound_broad,Ayahuasca therapy psychiatric neurological disorder outcome,Ayahuasca,,indication,{compound} therapy psychiatric neurological disorder outcome
disorder_00068,disorder,compound_broad,Ayahuasca randomized placebo open label follow-up,Ayahuasca,,indication,{compound} randomized placebo open label follow-up
disorder_00069,disorder,compound_broad,Ibogaine clinical trial treatment efficacy safety,Ibogaine,,indication,{compound} clinical trial treatment efficacy safety
