seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_00029,mechanistic,compound_broad,LSD pharmacology receptor binding affinity,LSD,,target,{compound} pharmacology receptor binding affinity
mechanistic_00030,mechanistic,compound_broad,LSD receptor transporter target profile,LSD,,target,{compound} receptor transporter target profile
mechanistic_00031,mechanistic,compound_broad,LSD mechanism signaling neuroplasticity pharmacology,LSD,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00032,mechanistic,compound_broad,Psilocybin pharmacology receptor binding affinity,Psilocybin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00033,mechanistic,compound_broad,Psilocybin receptor transporter target profile,Psilocybin,,target,{compound} receptor transporter target profile
mechanistic_00034,mechanistic,compound_broad,Psilocybin mechanism signaling neuroplasticity pharmacology,Psilocybin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00035,mechanistic,compound_broad,Psilocin pharmacology receptor binding affinity,Psilocin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00036,mechanistic,compound_broad,Psilocin receptor transporter target profile,Psilocin,,target,{compound} receptor transporter target profile
mechanistic_00037,mechanistic,compound_broad,Psilocin mechanism signaling neuroplasticity pharmacology,Psilocin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00038,mechanistic,compound_broad,Mescaline pharmacology receptor binding affinity,Mescaline,,target,{compound} pharmacology receptor binding affinity
mechanistic_00039,mechanistic,compound_broad,Mescaline receptor transporter target profile,Mescaline,,target,{compound} receptor transporter target profile
mechanistic_00040,mechanistic,compound_broad,Mescaline mechanism signaling neuroplasticity pharmacology,Mescaline,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00041,mechanistic,compound_broad,DMT pharmacology receptor binding affinity,DMT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00042,mechanistic,compound_broad,DMT receptor transporter target profile,DMT,,target,{compound} receptor transporter target profile
mechanistic_00043,mechanistic,compound_broad,DMT mechanism signaling neuroplasticity pharmacology,DMT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00044,mechanistic,compound_broad,5-MeO-DMT pharmacology receptor binding affinity,5-MeO-DMT,,target,{compound} pharmacology receptor binding affinity
mechanistic_00045,mechanistic,compound_broad,5-MeO-DMT receptor transporter target profile,5-MeO-DMT,,target,{compound} receptor transporter target profile
mechanistic_00046,mechanistic,compound_broad,5-MeO-DMT mechanism signaling neuroplasticity pharmacology,5-MeO-DMT,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00047,mechanistic,compound_broad,Bufotenin pharmacology receptor binding affinity,Bufotenin,,target,{compound} pharmacology receptor binding affinity
mechanistic_00048,mechanistic,compound_broad,Bufotenin receptor transporter target profile,Bufotenin,,target,{compound} receptor transporter target profile
mechanistic_00049,mechanistic,compound_broad,Bufotenin mechanism signaling neuroplasticity pharmacology,Bufotenin,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00050,mechanistic,compound_broad,Ayahuasca pharmacology receptor binding affinity,Ayahuasca,,target,{compound} pharmacology receptor binding affinity
mechanistic_00051,mechanistic,compound_broad,Ayahuasca receptor transporter target profile,Ayahuasca,,target,{compound} receptor transporter target profile
mechanistic_00052,mechanistic,compound_broad,Ayahuasca mechanism signaling neuroplasticity pharmacology,Ayahuasca,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00053,mechanistic,compound_broad,Ibogaine pharmacology receptor binding affinity,Ibogaine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00054,mechanistic,compound_broad,Ibogaine receptor transporter target profile,Ibogaine,,target,{compound} receptor transporter target profile
mechanistic_00055,mechanistic,compound_broad,Ibogaine mechanism signaling neuroplasticity pharmacology,Ibogaine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00056,mechanistic,compound_broad,Noribogaine pharmacology receptor binding affinity,Noribogaine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00057,mechanistic,compound_broad,Noribogaine receptor transporter target profile,Noribogaine,,target,{compound} receptor transporter target profile
mechanistic_00058,mechanistic,compound_broad,Noribogaine mechanism signaling neuroplasticity pharmacology,Noribogaine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00059,mechanistic,compound_broad,MDMA pharmacology receptor binding affinity,MDMA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00060,mechanistic,compound_broad,MDMA receptor transporter target profile,MDMA,,target,{compound} receptor transporter target profile
mechanistic_00061,mechanistic,compound_broad,MDMA mechanism signaling neuroplasticity pharmacology,MDMA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00062,mechanistic,compound_broad,MDA pharmacology receptor binding affinity,MDA,,target,{compound} pharmacology receptor binding affinity
mechanistic_00063,mechanistic,compound_broad,MDA receptor transporter target profile,MDA,,target,{compound} receptor transporter target profile
mechanistic_00064,mechanistic,compound_broad,MDA mechanism signaling neuroplasticity pharmacology,MDA,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00065,mechanistic,compound_broad,Ketamine pharmacology receptor binding affinity,Ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00066,mechanistic,compound_broad,Ketamine receptor transporter target profile,Ketamine,,target,{compound} receptor transporter target profile
mechanistic_00067,mechanistic,compound_broad,Ketamine mechanism signaling neuroplasticity pharmacology,Ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00068,mechanistic,compound_broad,S-ketamine pharmacology receptor binding affinity,S-ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00069,mechanistic,compound_broad,S-ketamine receptor transporter target profile,S-ketamine,,target,{compound} receptor transporter target profile
mechanistic_00070,mechanistic,compound_broad,S-ketamine mechanism signaling neuroplasticity pharmacology,S-ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00071,mechanistic,compound_broad,R-ketamine pharmacology receptor binding affinity,R-ketamine,,target,{compound} pharmacology receptor binding affinity
mechanistic_00072,mechanistic,compound_broad,R-ketamine receptor transporter target profile,R-ketamine,,target,{compound} receptor transporter target profile
mechanistic_00073,mechanistic,compound_broad,R-ketamine mechanism signaling neuroplasticity pharmacology,R-ketamine,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00074,mechanistic,compound_broad,DOI pharmacology receptor binding affinity,DOI,,target,{compound} pharmacology receptor binding affinity
mechanistic_00075,mechanistic,compound_broad,DOI receptor transporter target profile,DOI,,target,{compound} receptor transporter target profile
mechanistic_00076,mechanistic,compound_broad,DOI mechanism signaling neuroplasticity pharmacology,DOI,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00077,mechanistic,compound_broad,DOB pharmacology receptor binding affinity,DOB,,target,{compound} pharmacology receptor binding affinity
mechanistic_00078,mechanistic,compound_broad,DOB receptor transporter target profile,DOB,,target,{compound} receptor transporter target profile
mechanistic_00079,mechanistic,compound_broad,DOB mechanism signaling neuroplasticity pharmacology,DOB,,target,{compound} mechanism signaling neuroplasticity pharmacology
mechanistic_00080,mechanistic,compound_broad,DOM pharmacology receptor binding affinity,DOM,,target,{compound} pharmacology receptor binding affinity
