seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_00149,mechanistic,entity_broad,psychedelic 5-HT2A pharmacology binding affinity,,5-HT2A,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00150,mechanistic,entity_broad,hallucinogen 5-HT2A receptor transporter assay,,5-HT2A,target,hallucinogen {entity} receptor transporter assay
mechanistic_00151,mechanistic,entity_broad,5-HT2A serotonergic psychedelic binding assay,,5-HT2A,target,{entity} serotonergic psychedelic binding assay
mechanistic_00152,mechanistic,entity_broad,psychedelic 5-HT2B pharmacology binding affinity,,5-HT2B,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00153,mechanistic,entity_broad,hallucinogen 5-HT2B receptor transporter assay,,5-HT2B,target,hallucinogen {entity} receptor transporter assay
mechanistic_00154,mechanistic,entity_broad,5-HT2B serotonergic psychedelic binding assay,,5-HT2B,target,{entity} serotonergic psychedelic binding assay
mechanistic_00155,mechanistic,entity_broad,psychedelic 5-HT2C pharmacology binding affinity,,5-HT2C,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00156,mechanistic,entity_broad,hallucinogen 5-HT2C receptor transporter assay,,5-HT2C,target,hallucinogen {entity} receptor transporter assay
mechanistic_00157,mechanistic,entity_broad,5-HT2C serotonergic psychedelic binding assay,,5-HT2C,target,{entity} serotonergic psychedelic binding assay
mechanistic_00158,mechanistic,entity_broad,psychedelic 5-HT1A pharmacology binding affinity,,5-HT1A,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00159,mechanistic,entity_broad,hallucinogen 5-HT1A receptor transporter assay,,5-HT1A,target,hallucinogen {entity} receptor transporter assay
mechanistic_00160,mechanistic,entity_broad,5-HT1A serotonergic psychedelic binding assay,,5-HT1A,target,{entity} serotonergic psychedelic binding assay
mechanistic_00161,mechanistic,entity_broad,psychedelic 5-HT1B pharmacology binding affinity,,5-HT1B,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00162,mechanistic,entity_broad,hallucinogen 5-HT1B receptor transporter assay,,5-HT1B,target,hallucinogen {entity} receptor transporter assay
mechanistic_00163,mechanistic,entity_broad,5-HT1B serotonergic psychedelic binding assay,,5-HT1B,target,{entity} serotonergic psychedelic binding assay
mechanistic_00164,mechanistic,entity_broad,psychedelic 5-HT1D pharmacology binding affinity,,5-HT1D,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00165,mechanistic,entity_broad,hallucinogen 5-HT1D receptor transporter assay,,5-HT1D,target,hallucinogen {entity} receptor transporter assay
mechanistic_00166,mechanistic,entity_broad,5-HT1D serotonergic psychedelic binding assay,,5-HT1D,target,{entity} serotonergic psychedelic binding assay
mechanistic_00167,mechanistic,entity_broad,psychedelic 5-HT1E pharmacology binding affinity,,5-HT1E,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00168,mechanistic,entity_broad,hallucinogen 5-HT1E receptor transporter assay,,5-HT1E,target,hallucinogen {entity} receptor transporter assay
mechanistic_00169,mechanistic,entity_broad,5-HT1E serotonergic psychedelic binding assay,,5-HT1E,target,{entity} serotonergic psychedelic binding assay
mechanistic_00170,mechanistic,entity_broad,psychedelic 5-HT1F pharmacology binding affinity,,5-HT1F,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00171,mechanistic,entity_broad,hallucinogen 5-HT1F receptor transporter assay,,5-HT1F,target,hallucinogen {entity} receptor transporter assay
mechanistic_00172,mechanistic,entity_broad,5-HT1F serotonergic psychedelic binding assay,,5-HT1F,target,{entity} serotonergic psychedelic binding assay
mechanistic_00173,mechanistic,entity_broad,psychedelic 5-HT5A pharmacology binding affinity,,5-HT5A,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00174,mechanistic,entity_broad,hallucinogen 5-HT5A receptor transporter assay,,5-HT5A,target,hallucinogen {entity} receptor transporter assay
mechanistic_00175,mechanistic,entity_broad,5-HT5A serotonergic psychedelic binding assay,,5-HT5A,target,{entity} serotonergic psychedelic binding assay
mechanistic_00176,mechanistic,entity_broad,psychedelic 5-HT6 pharmacology binding affinity,,5-HT6,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00177,mechanistic,entity_broad,hallucinogen 5-HT6 receptor transporter assay,,5-HT6,target,hallucinogen {entity} receptor transporter assay
mechanistic_00178,mechanistic,entity_broad,5-HT6 serotonergic psychedelic binding assay,,5-HT6,target,{entity} serotonergic psychedelic binding assay
mechanistic_00179,mechanistic,entity_broad,psychedelic 5-HT7 pharmacology binding affinity,,5-HT7,target,psychedelic {entity} pharmacology binding affinity
mechanistic_00180,mechanistic,entity_broad,hallucinogen 5-HT7 receptor transporter assay,,5-HT7,target,hallucinogen {entity} receptor transporter assay
mechanistic_00181,mechanistic,entity_broad,5-HT7 serotonergic psychedelic binding assay,,5-HT7,target,{entity} serotonergic psychedelic binding assay
mechanistic_00182,mechanistic,entity_broad,psychedelic mGluR2 GRM2 pharmacology binding affinity,,mGluR2 (GRM2),target,psychedelic {entity} pharmacology binding affinity
mechanistic_00183,mechanistic,entity_broad,hallucinogen mGluR2 GRM2 receptor transporter assay,,mGluR2 (GRM2),target,hallucinogen {entity} receptor transporter assay
mechanistic_00184,mechanistic,entity_broad,mGluR2 GRM2 serotonergic psychedelic binding assay,,mGluR2 (GRM2),target,{entity} serotonergic psychedelic binding assay
mechanistic_00185,mechanistic,entity_broad,psychedelic TAAR1 pharmacology binding affinity,,TAAR1,target,psychedelic {entity} pharmacology binding affinity
