seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_00287,mechanistic,pair_core,LSD 5-HT2A binding affinity Ki,LSD,5-HT2A,target,{compound} {entity} binding affinity Ki
mechanistic_00288,mechanistic,pair_core,LSD 5-HT2A receptor pharmacology assay,LSD,5-HT2A,target,{compound} {entity} receptor pharmacology assay
mechanistic_00289,mechanistic,pair_core,LSD 5-HT2A functional assay agonist antagonist,LSD,5-HT2A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00290,mechanistic,pair_core,LSD 5-HT2B binding affinity Ki,LSD,5-HT2B,target,{compound} {entity} binding affinity Ki
mechanistic_00291,mechanistic,pair_core,LSD 5-HT2B receptor pharmacology assay,LSD,5-HT2B,target,{compound} {entity} receptor pharmacology assay
mechanistic_00292,mechanistic,pair_core,LSD 5-HT2B functional assay agonist antagonist,LSD,5-HT2B,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00293,mechanistic,pair_core,LSD 5-HT2C binding affinity Ki,LSD,5-HT2C,target,{compound} {entity} binding affinity Ki
mechanistic_00294,mechanistic,pair_core,LSD 5-HT2C receptor pharmacology assay,LSD,5-HT2C,target,{compound} {entity} receptor pharmacology assay
mechanistic_00295,mechanistic,pair_core,LSD 5-HT2C functional assay agonist antagonist,LSD,5-HT2C,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00296,mechanistic,pair_core,LSD 5-HT1A binding affinity Ki,LSD,5-HT1A,target,{compound} {entity} binding affinity Ki
mechanistic_00297,mechanistic,pair_core,LSD 5-HT1A receptor pharmacology assay,LSD,5-HT1A,target,{compound} {entity} receptor pharmacology assay
mechanistic_00298,mechanistic,pair_core,LSD 5-HT1A functional assay agonist antagonist,LSD,5-HT1A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00299,mechanistic,pair_core,LSD 5-HT1B binding affinity Ki,LSD,5-HT1B,target,{compound} {entity} binding affinity Ki
mechanistic_00300,mechanistic,pair_core,LSD 5-HT1B receptor pharmacology assay,LSD,5-HT1B,target,{compound} {entity} receptor pharmacology assay
mechanistic_00301,mechanistic,pair_core,LSD 5-HT1B functional assay agonist antagonist,LSD,5-HT1B,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00302,mechanistic,pair_core,LSD 5-HT1D binding affinity Ki,LSD,5-HT1D,target,{compound} {entity} binding affinity Ki
mechanistic_00303,mechanistic,pair_core,LSD 5-HT1D receptor pharmacology assay,LSD,5-HT1D,target,{compound} {entity} receptor pharmacology assay
mechanistic_00304,mechanistic,pair_core,LSD 5-HT1D functional assay agonist antagonist,LSD,5-HT1D,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00305,mechanistic,pair_core,LSD 5-HT1E binding affinity Ki,LSD,5-HT1E,target,{compound} {entity} binding affinity Ki
mechanistic_00306,mechanistic,pair_core,LSD 5-HT1E receptor pharmacology assay,LSD,5-HT1E,target,{compound} {entity} receptor pharmacology assay
mechanistic_00307,mechanistic,pair_core,LSD 5-HT1E functional assay agonist antagonist,LSD,5-HT1E,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00308,mechanistic,pair_core,LSD 5-HT1F binding affinity Ki,LSD,5-HT1F,target,{compound} {entity} binding affinity Ki
mechanistic_00309,mechanistic,pair_core,LSD 5-HT1F receptor pharmacology assay,LSD,5-HT1F,target,{compound} {entity} receptor pharmacology assay
mechanistic_00310,mechanistic,pair_core,LSD 5-HT1F functional assay agonist antagonist,LSD,5-HT1F,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00311,mechanistic,pair_core,LSD 5-HT5A binding affinity Ki,LSD,5-HT5A,target,{compound} {entity} binding affinity Ki
mechanistic_00312,mechanistic,pair_core,LSD 5-HT5A receptor pharmacology assay,LSD,5-HT5A,target,{compound} {entity} receptor pharmacology assay
mechanistic_00313,mechanistic,pair_core,LSD 5-HT5A functional assay agonist antagonist,LSD,5-HT5A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00314,mechanistic,pair_core,LSD 5-HT6 binding affinity Ki,LSD,5-HT6,target,{compound} {entity} binding affinity Ki
mechanistic_00315,mechanistic,pair_core,LSD 5-HT6 receptor pharmacology assay,LSD,5-HT6,target,{compound} {entity} receptor pharmacology assay
mechanistic_00316,mechanistic,pair_core,LSD 5-HT6 functional assay agonist antagonist,LSD,5-HT6,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00317,mechanistic,pair_core,LSD 5-HT7 binding affinity Ki,LSD,5-HT7,target,{compound} {entity} binding affinity Ki
mechanistic_00318,mechanistic,pair_core,LSD 5-HT7 receptor pharmacology assay,LSD,5-HT7,target,{compound} {entity} receptor pharmacology assay
mechanistic_00319,mechanistic,pair_core,LSD 5-HT7 functional assay agonist antagonist,LSD,5-HT7,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00320,mechanistic,pair_core,LSD mGluR2 GRM2 binding affinity Ki,LSD,mGluR2 (GRM2),target,{compound} {entity} binding affinity Ki
mechanistic_00321,mechanistic,pair_core,LSD mGluR2 GRM2 receptor pharmacology assay,LSD,mGluR2 (GRM2),target,{compound} {entity} receptor pharmacology assay
mechanistic_00322,mechanistic,pair_core,LSD mGluR2 GRM2 functional assay agonist antagonist,LSD,mGluR2 (GRM2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00323,mechanistic,pair_core,LSD TAAR1 binding affinity Ki,LSD,TAAR1,target,{compound} {entity} binding affinity Ki
mechanistic_00324,mechanistic,pair_core,LSD TAAR1 receptor pharmacology assay,LSD,TAAR1,target,{compound} {entity} receptor pharmacology assay
mechanistic_00325,mechanistic,pair_core,LSD TAAR1 functional assay agonist antagonist,LSD,TAAR1,target,{compound} {entity} functional assay agonist antagonist
mechanistic_00326,mechanistic,pair_core,LSD SERT SLC6A4 binding affinity Ki,LSD,SERT (SLC6A4),target,{compound} {entity} binding affinity Ki
mechanistic_00327,mechanistic,pair_core,LSD SERT SLC6A4 receptor pharmacology assay,LSD,SERT (SLC6A4),target,{compound} {entity} receptor pharmacology assay
mechanistic_00328,mechanistic,pair_core,LSD SERT SLC6A4 functional assay agonist antagonist,LSD,SERT (SLC6A4),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00329,mechanistic,pair_core,LSD NET SLC6A2 binding affinity Ki,LSD,NET (SLC6A2),target,{compound} {entity} binding affinity Ki
mechanistic_00330,mechanistic,pair_core,LSD NET SLC6A2 receptor pharmacology assay,LSD,NET (SLC6A2),target,{compound} {entity} receptor pharmacology assay
mechanistic_00331,mechanistic,pair_core,LSD NET SLC6A2 functional assay agonist antagonist,LSD,NET (SLC6A2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00332,mechanistic,pair_core,LSD DAT SLC6A3 binding affinity Ki,LSD,DAT (SLC6A3),target,{compound} {entity} binding affinity Ki
mechanistic_00333,mechanistic,pair_core,LSD DAT SLC6A3 receptor pharmacology assay,LSD,DAT (SLC6A3),target,{compound} {entity} receptor pharmacology assay
mechanistic_00334,mechanistic,pair_core,LSD DAT SLC6A3 functional assay agonist antagonist,LSD,DAT (SLC6A3),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00335,mechanistic,pair_core,LSD VMAT2 SLC18A2 binding affinity Ki,LSD,VMAT2 (SLC18A2),target,{compound} {entity} binding affinity Ki
mechanistic_00336,mechanistic,pair_core,LSD VMAT2 SLC18A2 receptor pharmacology assay,LSD,VMAT2 (SLC18A2),target,{compound} {entity} receptor pharmacology assay
mechanistic_00337,mechanistic,pair_core,LSD VMAT2 SLC18A2 functional assay agonist antagonist,LSD,VMAT2 (SLC18A2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00338,mechanistic,pair_core,LSD D1 receptor DRD1 binding affinity Ki,LSD,D1 receptor (DRD1),target,{compound} {entity} binding affinity Ki
mechanistic_00339,mechanistic,pair_core,LSD D1 receptor DRD1 receptor pharmacology assay,LSD,D1 receptor (DRD1),target,{compound} {entity} receptor pharmacology assay
mechanistic_00340,mechanistic,pair_core,LSD D1 receptor DRD1 functional assay agonist antagonist,LSD,D1 receptor (DRD1),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00341,mechanistic,pair_core,LSD D2 receptor DRD2 binding affinity Ki,LSD,D2 receptor (DRD2),target,{compound} {entity} binding affinity Ki
mechanistic_00342,mechanistic,pair_core,LSD D2 receptor DRD2 receptor pharmacology assay,LSD,D2 receptor (DRD2),target,{compound} {entity} receptor pharmacology assay
mechanistic_00343,mechanistic,pair_core,LSD D2 receptor DRD2 functional assay agonist antagonist,LSD,D2 receptor (DRD2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00344,mechanistic,pair_core,LSD D3 receptor DRD3 binding affinity Ki,LSD,D3 receptor (DRD3),target,{compound} {entity} binding affinity Ki
mechanistic_00345,mechanistic,pair_core,LSD D3 receptor DRD3 receptor pharmacology assay,LSD,D3 receptor (DRD3),target,{compound} {entity} receptor pharmacology assay
mechanistic_00346,mechanistic,pair_core,LSD D3 receptor DRD3 functional assay agonist antagonist,LSD,D3 receptor (DRD3),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00347,mechanistic,pair_core,LSD D4 receptor DRD4 binding affinity Ki,LSD,D4 receptor (DRD4),target,{compound} {entity} binding affinity Ki
mechanistic_00348,mechanistic,pair_core,LSD D4 receptor DRD4 receptor pharmacology assay,LSD,D4 receptor (DRD4),target,{compound} {entity} receptor pharmacology assay
mechanistic_00349,mechanistic,pair_core,LSD D4 receptor DRD4 functional assay agonist antagonist,LSD,D4 receptor (DRD4),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00350,mechanistic,pair_core,LSD D5 receptor DRD5 binding affinity Ki,LSD,D5 receptor (DRD5),target,{compound} {entity} binding affinity Ki
mechanistic_00351,mechanistic,pair_core,LSD D5 receptor DRD5 receptor pharmacology assay,LSD,D5 receptor (DRD5),target,{compound} {entity} receptor pharmacology assay
mechanistic_00352,mechanistic,pair_core,LSD D5 receptor DRD5 functional assay agonist antagonist,LSD,D5 receptor (DRD5),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00353,mechanistic,pair_core,LSD Alpha1A adrenergic receptor ADRA1A binding affinity Ki,LSD,Alpha1A adrenergic receptor (ADRA1A),target,{compound} {entity} binding affinity Ki
mechanistic_00354,mechanistic,pair_core,LSD Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay,LSD,Alpha1A adrenergic receptor (ADRA1A),target,{compound} {entity} receptor pharmacology assay
mechanistic_00355,mechanistic,pair_core,LSD Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist,LSD,Alpha1A adrenergic receptor (ADRA1A),target,{compound} {entity} functional assay agonist antagonist
mechanistic_00356,mechanistic,pair_core,LSD Alpha1B adrenergic receptor ADRA1B binding affinity Ki,LSD,Alpha1B adrenergic receptor (ADRA1B),target,{compound} {entity} binding affinity Ki
mechanistic_00357,mechanistic,pair_core,LSD Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay,LSD,Alpha1B adrenergic receptor (ADRA1B),target,{compound} {entity} receptor pharmacology assay
