seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_00001,mechanistic,sentinel_default,LSD 5-HT2A receptor binding affinity Ki radioligand,LSD,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00002,mechanistic,sentinel_default,LSD 5-HT2C receptor binding affinity,LSD,5-HT2C,target,DEFAULT_SEEDS
mechanistic_00003,mechanistic,sentinel_default,psilocin 5-HT2A receptor binding affinity,Psilocin,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00004,mechanistic,sentinel_default,psilocin 5-HT1A receptor binding affinity,Psilocin,5-HT1A,target,DEFAULT_SEEDS
mechanistic_00005,mechanistic,sentinel_default,psilocybin psilocin 5-HT2A agonist receptor,Psilocybin,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00006,mechanistic,sentinel_default,DMT 5-HT2A receptor binding affinity,DMT,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00007,mechanistic,sentinel_default,DMT sigma-1 receptor binding affinity,DMT,Sigma-1 receptor (SIGMAR1),target,DEFAULT_SEEDS
mechanistic_00008,mechanistic,sentinel_default,psychedelic TAAR1 trace amine receptor 1 binding,DMT,TAAR1,target,DEFAULT_SEEDS
mechanistic_00009,mechanistic,sentinel_default,5-MeO-DMT 5-HT1A receptor binding affinity,5-MeO-DMT,5-HT1A,target,DEFAULT_SEEDS
mechanistic_00010,mechanistic,sentinel_default,mescaline 5-HT2A receptor binding affinity,Mescaline,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00011,mechanistic,sentinel_default,MDMA SERT DAT NET transporter affinity,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00012,mechanistic,sentinel_default,MDMA dopamine transporter DAT affinity,MDMA,DAT (SLC6A3),target,DEFAULT_SEEDS
mechanistic_00013,mechanistic,sentinel_default,MDMA norepinephrine transporter NET affinity,MDMA,NET (SLC6A2),target,DEFAULT_SEEDS
mechanistic_00014,mechanistic,sentinel_default,MDMA SERT amphetamine serotonin transporter CaMKII,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00015,mechanistic,sentinel_default,MDMA enantiomers MPTP-lesioned primate SERT in vitro,MDMA,SERT (SLC6A4),target,DEFAULT_SEEDS
mechanistic_00016,mechanistic,sentinel_default,ibogaine noribogaine kappa opioid receptor binding,Ibogaine,kappa opioid receptor (OPRK1),target,DEFAULT_SEEDS
mechanistic_00017,mechanistic,sentinel_default,ibogaine NMDA receptor binding affinity,Ibogaine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00018,mechanistic,sentinel_default,ketamine NMDA receptor affinity binding Ki,Ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00019,mechanistic,sentinel_default,esketamine NMDA receptor affinity binding,S-ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00020,mechanistic,sentinel_default,arketamine NMDA receptor affinity binding,R-ketamine,NMDA receptor,target,DEFAULT_SEEDS
mechanistic_00021,mechanistic,sentinel_default,salvinorin A kappa opioid receptor affinity,Salvinorin A,kappa opioid receptor (OPRK1),target,DEFAULT_SEEDS
mechanistic_00022,mechanistic,sentinel_default,2C-B 5-HT2A receptor binding affinity,2C-B,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00023,mechanistic,sentinel_default,DOI 5-HT2A receptor binding affinity,DOI,5-HT2A,target,DEFAULT_SEEDS
mechanistic_00024,mechanistic,sentinel_default,psychedelic mGluR2 GRM2 receptor interaction,LSD,mGluR2 (GRM2),target,DEFAULT_SEEDS
