seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_03287,mechanistic,pair_core,2C-I H1 receptor HRH1 binding affinity Ki,2C-I,H1 receptor (HRH1),target,{compound} {entity} binding affinity Ki
mechanistic_03288,mechanistic,pair_core,2C-I H1 receptor HRH1 receptor pharmacology assay,2C-I,H1 receptor (HRH1),target,{compound} {entity} receptor pharmacology assay
mechanistic_03289,mechanistic,pair_core,2C-I H1 receptor HRH1 functional assay agonist antagonist,2C-I,H1 receptor (HRH1),target,{compound} {entity} functional assay agonist antagonist
mechanistic_03290,mechanistic,pair_core,2C-I H2 receptor HRH2 binding affinity Ki,2C-I,H2 receptor (HRH2),target,{compound} {entity} binding affinity Ki
mechanistic_03291,mechanistic,pair_core,2C-I H2 receptor HRH2 receptor pharmacology assay,2C-I,H2 receptor (HRH2),target,{compound} {entity} receptor pharmacology assay
mechanistic_03292,mechanistic,pair_core,2C-I H2 receptor HRH2 functional assay agonist antagonist,2C-I,H2 receptor (HRH2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_03293,mechanistic,pair_core,2C-I Sigma-1 receptor SIGMAR1 binding affinity Ki,2C-I,Sigma-1 receptor (SIGMAR1),target,{compound} {entity} binding affinity Ki
mechanistic_03294,mechanistic,pair_core,2C-I Sigma-1 receptor SIGMAR1 receptor pharmacology assay,2C-I,Sigma-1 receptor (SIGMAR1),target,{compound} {entity} receptor pharmacology assay
mechanistic_03295,mechanistic,pair_core,2C-I Sigma-1 receptor SIGMAR1 functional assay agonist antagonist,2C-I,Sigma-1 receptor (SIGMAR1),target,{compound} {entity} functional assay agonist antagonist
mechanistic_03296,mechanistic,pair_core,2C-I Sigma-2 receptor TMEM97 binding affinity Ki,2C-I,Sigma-2 receptor (TMEM97),target,{compound} {entity} binding affinity Ki
mechanistic_03297,mechanistic,pair_core,2C-I Sigma-2 receptor TMEM97 receptor pharmacology assay,2C-I,Sigma-2 receptor (TMEM97),target,{compound} {entity} receptor pharmacology assay
mechanistic_03298,mechanistic,pair_core,2C-I Sigma-2 receptor TMEM97 functional assay agonist antagonist,2C-I,Sigma-2 receptor (TMEM97),target,{compound} {entity} functional assay agonist antagonist
mechanistic_03299,mechanistic,pair_core,2C-I kappa opioid receptor OPRK1 binding affinity Ki,2C-I,kappa opioid receptor (OPRK1),target,{compound} {entity} binding affinity Ki
mechanistic_03300,mechanistic,pair_core,2C-I kappa opioid receptor OPRK1 receptor pharmacology assay,2C-I,kappa opioid receptor (OPRK1),target,{compound} {entity} receptor pharmacology assay
mechanistic_03301,mechanistic,pair_core,2C-I kappa opioid receptor OPRK1 functional assay agonist antagonist,2C-I,kappa opioid receptor (OPRK1),target,{compound} {entity} functional assay agonist antagonist
mechanistic_03302,mechanistic,pair_core,2C-I mu opioid receptor OPRM1 binding affinity Ki,2C-I,mu opioid receptor (OPRM1),target,{compound} {entity} binding affinity Ki
mechanistic_03303,mechanistic,pair_core,2C-I mu opioid receptor OPRM1 receptor pharmacology assay,2C-I,mu opioid receptor (OPRM1),target,{compound} {entity} receptor pharmacology assay
mechanistic_03304,mechanistic,pair_core,2C-I mu opioid receptor OPRM1 functional assay agonist antagonist,2C-I,mu opioid receptor (OPRM1),target,{compound} {entity} functional assay agonist antagonist
