line_no,raw_doi,reason,raw_row
5819,pii: muladx3048sho,invalid_doi,"pii: muladx3048sho,,,Emerging Perspectives in Addiction Psychiatry.,2023,Jordan A"
5845,pii: V01230066,invalid_doi,"pii: V01230066,,,Psychedelic drugs in the treatment of psychiatric disorders.,2023,Ibrahim IB; Videbech P; Straszek SPV"
5961,pii: D4842,invalid_doi,"pii: D4842,,,[Treatment with psilocybin: applications for patients with psychiatric disorders].,2021,Breeksema JJ; Koolen MHB; Somers M; Schoevers RA"
6013,pii: B5468,invalid_doi,"pii: B5468,,,Adjuvant analgesics for spine surgery.,2018,Nielsen RV"
6032,pii: D2354,invalid_doi,"pii: D2354,,,[New indications for existing drugs; repurposing in psychiatry and addiction medicine].,2018,Strous JFM; van den Brink W"
6385,pii: 23195,invalid_doi,"pii: 23195,,,[Psychedelic psychiatry].,2024,López E; Yngwe H; Beckman M; Tiger M; Hieronymus F; Lundberg J"
6423,pii: D7407,invalid_doi,"pii: D7407,,,[Consider (es)ketamine for treatment-resistant depression].,2023,van Verseveld M; Stuiver S; Vos CF; Ruhé HG; van Waarde JA; Kramers CK"
6424,pii: D7174,invalid_doi,"pii: D7174,,,[IV esketamine for patients with a treatment-resistant depression].,2023,Stuiver S; Van Verseveld M; Koning MV; De Wit NCJ; Van Waarde JA"
6458,pii: D6318,invalid_doi,"pii: D6318,,,[Psilocybin compared with escitalopram for depression].,2022,Strous JFM"
7901,pii: 24007,invalid_doi,"pii: 24007,PRO-LAD,Social anxiety disorder,[Expectancies and SSRI treatment of social anxiety disorder].,2024,Wahlstedt K; Furmark T"
8155,pii: A09200643,invalid_doi,"pii: A09200643,PRO-LAD,Post-traumatic stress disorder,Comparing treatments for post-traumatic stress disorder - a systematic review.,2021,Storm MP; Christensen KS"
8774,pii: 1009,invalid_doi,"pii: 1009,PRO-LAD,Bulimia nervosa,Bulimia nervosa.,2008,Hay PJ; Bacaltchuk J"
8794,pii: 1014,invalid_doi,"pii: 1014,PRO-LAD,Bipolar depression,Bipolar disorder.,2007,Geddes JR; Briess D"
