# new DOI queue (disorder) generated at 2026-05-17T12:39:05.018550+00:00
# doi,compound,disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.drugalcdep.2026.113125,Lisuride,Cocaine use disorder,"The wake of addiction: Pharmacological strategies for sleep disturbances in stimulant use disorders, a systematic review.",2026,Bourtin IG; Calvillo DJ; Badawi JC; Schmitz JM; Lane SD; Yoon JH; Webber HE
10.1038/s41598-024-83144-6,TMA,Post-traumatic stress disorder,Real-world evaluation of an evidence-based telemental health program for PTSD symptoms.,2025,Owusu JT; Wang L; Chen SY; Wickham RE; Michael ST; Bahrassa NF; Varra A; Lee JL; Chen C; Lungu A
10.3390/ijms25105319,Lisuride,Substance use disorder,D(R)e(A)mocracy: A Method to Capitalise on Prior Drug Discovery Efforts to Highlight Candidate Drugs for Repurposing.,2024,Savva K; Zachariou M; Bourdakou MM; Dietis N; Spyrou GM
10.1016/j.ymgme.2023.108121,TMA,Headache disorders,Effect of avalglucosidase alfa on disease-specific and general patient-reported outcomes in treatment-naïve adults with late-onset Pompe disease compared with alglucosidase alfa: Meaningful change analyses from the Phase 3 COMET trial.,2024,Toscano A; Pollissard L; Msihid J; van der Beek N; Kishnani PS; Dimachkie MM; Berger KI; DasMahapatra P; Thibault N; Hamed A
10.1177/15385744231226047,TMA,Chronic pain,Single Center Outcomes of Percutaneous Deep Vein Arterialization in Patients with End-Stage Peripheral Artery Disease.,2024,Choinski KN; Rao AG; Krishnan P; Tadros RO; Sharma R; Faries PL
10.1177/20543581231209009,TMA,Chronic pain,Complement-Mediated Thrombotic Microangiopathy in Pregnancy: An Educational Case Report.,2023,Bruno V; Barth D; Jauhal A
10.1007/s11136-021-02848-8,TMA,Major depressive disorder,"Health-related quality of life in elderly, multimorbid individuals with and without depression and/or mild cognitive impairment using a telemonitoring application.",2021,Lang C; Roessler M; Schmitt J; Bergmann A; Holthoff-Detto V
10.1177/0271678x20938137,Salvinorin A,Substance use disorder,Intranasal salvinorin A improves neurological outcome in rhesus monkey ischemic stroke model using autologous blood clot.,2021,Wu L; Wu D; Chen J; Chen C; Yao T; He X; Ma Y; Zhi X; Liu R; Ji X
10.1097/phm.0000000000001743,TMA,Chronic pain,Lumbar Bracing for Chronic Low Back Pain: A Randomized Controlled Trial.,2021,Annaswamy TM; Cunniff KJ; Kroll M; Yap L; Hasley M; Lin CK; Petrasic J
10.1186/s12882-020-01766-0,TMA,Chronic pain,Isolated thrombotic microangiopathy of the small intestine in a patient with atypical hemolytic uremic syndrome - a case report.,2020,Nunius C; Büttner-Herold M; Bertz S; Schiffer M; Buchholz B
10.1002/lsm.23246,TMA,Chronic pain,Thermomechanical Ablation-Assisted Photodynamic Therapy for the Treatment of Acne Vulgaris. A Retrospective Chart Review of 30 Patients.,2020,Hilerowicz Y; Friedman O; Zur E; Ziv R; Koren A; Salameh F; Mehrabi JN; Artzi O
10.1097/jcp.0000000000001124,Lisuride,Substance use disorder,Prodopaminergic Drugs for Treating the Negative Symptoms of Schizophrenia: Systematic Review and Meta-analysis of Randomized Controlled Trials.,2019,Sabe M; Kirschner M; Kaiser S
10.1097/phm.0000000000000879,TMA,Chronic pain,"Intra-articular Triamcinolone Versus Hyaluronate Injections for Low Back Pain With Symptoms Suggestive of Lumbar Zygapophyseal Joint Arthropathy: A Pragmatic, Double-Blind Randomized Controlled Trial.",2018,Annaswamy TM; Armstead C; Carlson L; Elkins NJ; Kocak D; Bierner SM
10.1136/bcr-2016-218581,TMA,Alcohol use disorder,A rare case of thrombotic microangiopathy triggered by acute pancreatitis.,2017,Singh K; Nadeem AJ; Doratotaj B
10.1080/1744666x.2017.1263153,Lisuride,Substance use disorder,Use of biologics and other novel therapies for the treatment of systemic sclerosis.,2017,Bruni C; Praino E; Allanore Y; Distler O; Gabrielli A; Iannone F; Matucci-Cerinic M
10.12659/ajcr.899764,TMA,Substance use disorder,A Case Report and Literature Review of Eculizumab Withdrawal in Atypical Hemolytic-Uremic Syndrome.,2016,Quiroga B; de Lorenzo A; Vega C; de Alvaro F
10.1177/0269881115570081,Salvinorin A,Substance use disorder,"The subjective experience of acute, experimentally-induced Salvia divinorum inebriation.",2015,Addy PH; Garcia-Romeu A; Metzger M; Wade J
10.1016/j.compbiomed.2013.11.005,TMA,Substance use disorder,A novel mortality model for acute alcoholic hepatitis including variables recorded after admission to hospital.,2014,Mazzocco T; Hussain A; Hussain S; Shah AA
