# new DOI queue (mechanistic) generated at 2026-05-17T06:13:09.427716+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1177/02698811261443696,DMT,5-HT1A,5-HT(1A) receptor blockade potentiates the subjective effects of DMT.,2026,Zahid Z; Strassman RJ; Qualls CR; Nayak SM
10.1007/s10695-025-01556-1,LSD,NET (SLC6A2),Yellowtail kingfish Seriola aureovittata farmed in offshore net cage response to high density by regulating protein and glucose metabolism.,2025,Jiang Y; Xu Y; Yu C; Cui A; Wang K; Wang B; Xue Z
10.1016/j.msard.2023.105100,DMT,NET (SLC6A2),Benefits of sphingosine-1-phosphate receptor modulators in relapsing MS estimated with a treatment sequence model.,2023,Corsten CEA; Huygens SA; Versteegh MM; Wokke BHA; Smets I; Smolders J
10.3390/molecules28155846,DMT,SERT (SLC6A4),Elucidation of Pharmacological Mechanism Underlying the Anti-Alzheimer's Disease Effects of Evodia rutaecarpa and Discovery of Novel Lead Molecules: An In Silico Study.,2023,Zhang L; Xu J; Guo J; Wang Y; Wang Q
10.1016/j.ygcen.2023.114228,LSD,NET (SLC6A2),Stress response of Rhamdia quelen to the interaction stocking density - Feeding regimen.,2023,Silva HNPD; Almeida APG; Souza CF; Mancera JM; Martos-Sitcha JA; Martínez-Rodríguez G; Baldisserotto B
10.1038/s41386-021-01122-2,Psilocybin,NMDA receptor,"Novel approaches to estimate prefrontal synaptic strength in vivo in humans: of relevance to depression, schizophrenia, and ketamine.",2022,Abdallah CG; Mason GF
10.1186/s12964-022-00866-8,LSD,NMDA receptor,The regulatory role of NAAG-mGluR3 signaling on cortical synaptic plasticity after hypoxic ischemia.,2022,Li K; Lu M; Cui M; Wang X; Zheng Y
10.1016/j.ibror.2019.12.002,LSD,5-HT5A,"""Effect of valerenic acid on neuroinflammation in a MPTP-induced mouse model of Parkinson's disease"".",2020,Rodríguez-Cruz A; Romo-Mancillas A; Mendiola-Precoma J; Escobar-Cabrera JE; García-Alcocer G; Berumen LC
10.1016/j.ecoenv.2019.109848,DMT,DAT (SLC6A3),Potential of esterase DmtH in transforming plastic additive dimethyl terephthalate to less toxic mono-methyl terephthalate.,2020,Cheng X; Dong S; Chen D; Rui Q; Guo J; Dayong Wang; Jiang J
10.1038/s41389-020-0235-y,LSD,NET (SLC6A2),Surface charge of Merkel cell polyomavirus small T antigen determines cell transformation through allosteric FBW7 WD40 domain targeting.,2020,Nwogu N; Ortiz LE; Kwun HJ
10.1016/j.mehy.2019.109406,Psilocybin,SERT (SLC6A4),The Psilocybin-Telomere Hypothesis: An empirically falsifiable prediction concerning the beneficial neuropsychopharmacological effects of psilocybin on genetic aging.,2020,Germann CB
10.1080/14756366.2018.1441839,DMT,kappa opioid receptor (OPRK1),Antinociceptive potency of a fluorinated cyclopeptide Dmt-c[D-Lys-Phe-p-CF(3)-Phe-Asp]NH(2).,2018,Piekielna-Ciesielska J; Mollica A; Pieretti S; Fichna J; Szymaszkiewicz A; Zielińska M; Kordek R; Janecka A
10.1080/15548627.2018.1491488,LSD,NET (SLC6A2),Contractile activity attenuates autophagy suppression and reverses mitochondrial defects in skeletal muscle cells.,2018,Parousis A; Carter HN; Tran C; Erlich AT; Mesbah Moosavi ZS; Pauly M; Hood DA
10.4103/0366-6999.213966,LSD,SERT (SLC6A4),5-Hydroxytryptamine Changes under Different Pretreatments on Rat Models of Myocardial Infarction and/or Depression.,2017,Liu MY; Zhang LJ; Zhou YX; Wei WL
10.1021/jacs.6b11327,DMT,NET (SLC6A2),Structural and Biochemical Characterization of Organotin and Organolead Compounds Binding to the Organomercurial Lyase MerB Provide New Insights into Its Mechanism of Carbon-Metal Bond Cleavage.,2017,Wahba HM; Stevenson MJ; Mansour A; Sygusch J; Wilcox DE; Omichinski JG
10.3760/cma.j.issn.0412-4081.2017.12.010,LSD,NMDA receptor,[The protective effect of the activation of NMDAR1/ERK1/2 signal pathway induced by levodopa on visual cortical neurons in monocular deprivation rats].,2017,Sun XN; Wang HL; Qiao G; Tao J; Liu C; Hao XH
