# discovered queue (mechanistic) generated at 2026-05-17T08:30:06.264746+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1097/FBP.0000000000000841,5-MeO-DiPT,5-HT2A,"Effects of three tryptamines: alpha-methyltryptamine, 5-methoxy-alpha-methyltryptamine, and 5-methoxy- N , N -diisopropyltryptamine on acute toxicity, locomotor activity, and hallucinogenic behavior in mice.",2025,Li K; Li N; Chen Y; Li X; Qiao Y; Wang D; Di B; Xu P
10.1038/s41386-023-01744-8,DiPT,5-HT2A,Psilocybin analog 4-OH-DiPT enhances fear extinction and GABAergic inhibition of principal neurons in the basolateral amygdala.,2024,Kelly TJ; Bonniwell EM; Mu L; Liu X; Hu Y; Friedman V; Yu H; Su W; McCorvy JD; Liu QS
10.1021/acschemneuro.4c00058,DiPT,5-HT2A,"RE104: Synthesis and Activity of a Novel Serotonergic Psychedelic Prodrug of 4-Hydroxy-N,N-diisopropyltryptamine.",2024,Bryson N; Alexander R; Asnis-Alibozek A; Ehlers MD
10.1007/s00213-022-06279-2,2C-T-2,5-HT2A,"Use of the head-twitch response to investigate the structure-activity relationships of 4-thio-substituted 2,5-dimethoxyphenylalkylamines.",2023,Halberstadt AL; Luethi D; Hoener MC; Trachsel D; Brandt SD; Liechti ME
10.1002/dta.3281,AL-LAD,5-HT2A,"Analytical profile, in vitro metabolism and behavioral properties of the lysergamide 1P-AL-LAD.",2022,Brandt SD; Kavanagh PV; Westphal F; Pulver B; Schwelm HM; Whitelock K; Stratford A; Auwärter V; Halberstadt AL
10.3390/ijerph19116619,AL-LAD,5-HT2A,Spatiotemporal Mapping of Online Interest in Cannabis and Popular Psychedelics before and during the COVID-19 Pandemic in Poland.,2022,Al-Imam A; Motyka MA; Witulska Z; Younus M; Michalak M
10.1016/j.neuint.2021.105185,DPT,5-HT7,5-HT(7) receptors in Alzheimer's disease.,2021,Solas M; Van Dam D; Janssens J; Ocariz U; Vermeiren Y; De Deyn PP; Ramirez MJ
10.1002/npr2.12161,5-MeO-DiPT,5-HT1A,Dual actions of 5-MeO-DIPT at the serotonin transporter and serotonin 5-HT(1A) receptor in the mouse striatum and prefrontal cortex.,2021,Hagino Y; Hall FS; Uhl GR; Sora I; Ikeda K
10.1007/s11419-018-0433-x,5-MeO-DiPT,SERT (SLC6A4),Effects of exposure to 5-MeO-DIPT during adolescence on brain neurotransmission and neurotoxicity in adult rats.,2019,Noworyta-Sokołowska K; Kamińska K; Rzemieniec J; Wnuk A; Wojcieszak J; Górska AM; Kreiner G; Kajta M; Gołembiowska K
10.1155/2019/1368371,DPT,NET (SLC6A2),Network Pharmacology Analysis of Damnacanthus indicus C.F.Gaertn in Gene-Phenotype.,2019,Long S; Yuan C; Wang Y; Zhang J; Li G
10.1007/s12035-016-0074-1,DPT,NMDA receptor,Alleviation of N-Methyl-D-Aspartate Receptor-Dependent Long-Term Depression via Regulation of the Glycogen Synthase Kinase-3β Pathway in the Amygdala of a Valproic Acid-Induced Animal Model of Autism.,2017,Wu HF; Chen PS; Chen YJ; Lee CW; Chen IT; Lin HC
