seed_id,dataset,family,query,compound,entity,entity_type,template
mechanistic_04287,mechanistic,pair_core,AL-LAD CB2 receptor CNR2 receptor pharmacology assay,AL-LAD,CB2 receptor (CNR2),target,{compound} {entity} receptor pharmacology assay
mechanistic_04288,mechanistic,pair_core,AL-LAD CB2 receptor CNR2 functional assay agonist antagonist,AL-LAD,CB2 receptor (CNR2),target,{compound} {entity} functional assay agonist antagonist
mechanistic_04289,mechanistic,pair_core,ETH-LAD 5-HT2A binding affinity Ki,ETH-LAD,5-HT2A,target,{compound} {entity} binding affinity Ki
mechanistic_04290,mechanistic,pair_core,ETH-LAD 5-HT2A receptor pharmacology assay,ETH-LAD,5-HT2A,target,{compound} {entity} receptor pharmacology assay
mechanistic_04291,mechanistic,pair_core,ETH-LAD 5-HT2A functional assay agonist antagonist,ETH-LAD,5-HT2A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04292,mechanistic,pair_core,ETH-LAD 5-HT2B binding affinity Ki,ETH-LAD,5-HT2B,target,{compound} {entity} binding affinity Ki
mechanistic_04293,mechanistic,pair_core,ETH-LAD 5-HT2B receptor pharmacology assay,ETH-LAD,5-HT2B,target,{compound} {entity} receptor pharmacology assay
mechanistic_04294,mechanistic,pair_core,ETH-LAD 5-HT2B functional assay agonist antagonist,ETH-LAD,5-HT2B,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04295,mechanistic,pair_core,ETH-LAD 5-HT2C binding affinity Ki,ETH-LAD,5-HT2C,target,{compound} {entity} binding affinity Ki
mechanistic_04296,mechanistic,pair_core,ETH-LAD 5-HT2C receptor pharmacology assay,ETH-LAD,5-HT2C,target,{compound} {entity} receptor pharmacology assay
mechanistic_04297,mechanistic,pair_core,ETH-LAD 5-HT2C functional assay agonist antagonist,ETH-LAD,5-HT2C,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04298,mechanistic,pair_core,ETH-LAD 5-HT1A binding affinity Ki,ETH-LAD,5-HT1A,target,{compound} {entity} binding affinity Ki
mechanistic_04299,mechanistic,pair_core,ETH-LAD 5-HT1A receptor pharmacology assay,ETH-LAD,5-HT1A,target,{compound} {entity} receptor pharmacology assay
mechanistic_04300,mechanistic,pair_core,ETH-LAD 5-HT1A functional assay agonist antagonist,ETH-LAD,5-HT1A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04301,mechanistic,pair_core,ETH-LAD 5-HT1B binding affinity Ki,ETH-LAD,5-HT1B,target,{compound} {entity} binding affinity Ki
mechanistic_04302,mechanistic,pair_core,ETH-LAD 5-HT1B receptor pharmacology assay,ETH-LAD,5-HT1B,target,{compound} {entity} receptor pharmacology assay
mechanistic_04303,mechanistic,pair_core,ETH-LAD 5-HT1B functional assay agonist antagonist,ETH-LAD,5-HT1B,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04304,mechanistic,pair_core,ETH-LAD 5-HT1D binding affinity Ki,ETH-LAD,5-HT1D,target,{compound} {entity} binding affinity Ki
mechanistic_04305,mechanistic,pair_core,ETH-LAD 5-HT1D receptor pharmacology assay,ETH-LAD,5-HT1D,target,{compound} {entity} receptor pharmacology assay
mechanistic_04306,mechanistic,pair_core,ETH-LAD 5-HT1D functional assay agonist antagonist,ETH-LAD,5-HT1D,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04307,mechanistic,pair_core,ETH-LAD 5-HT1E binding affinity Ki,ETH-LAD,5-HT1E,target,{compound} {entity} binding affinity Ki
mechanistic_04308,mechanistic,pair_core,ETH-LAD 5-HT1E receptor pharmacology assay,ETH-LAD,5-HT1E,target,{compound} {entity} receptor pharmacology assay
mechanistic_04309,mechanistic,pair_core,ETH-LAD 5-HT1E functional assay agonist antagonist,ETH-LAD,5-HT1E,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04310,mechanistic,pair_core,ETH-LAD 5-HT1F binding affinity Ki,ETH-LAD,5-HT1F,target,{compound} {entity} binding affinity Ki
mechanistic_04311,mechanistic,pair_core,ETH-LAD 5-HT1F receptor pharmacology assay,ETH-LAD,5-HT1F,target,{compound} {entity} receptor pharmacology assay
mechanistic_04312,mechanistic,pair_core,ETH-LAD 5-HT1F functional assay agonist antagonist,ETH-LAD,5-HT1F,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04313,mechanistic,pair_core,ETH-LAD 5-HT5A binding affinity Ki,ETH-LAD,5-HT5A,target,{compound} {entity} binding affinity Ki
mechanistic_04314,mechanistic,pair_core,ETH-LAD 5-HT5A receptor pharmacology assay,ETH-LAD,5-HT5A,target,{compound} {entity} receptor pharmacology assay
mechanistic_04315,mechanistic,pair_core,ETH-LAD 5-HT5A functional assay agonist antagonist,ETH-LAD,5-HT5A,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04316,mechanistic,pair_core,ETH-LAD 5-HT6 binding affinity Ki,ETH-LAD,5-HT6,target,{compound} {entity} binding affinity Ki
mechanistic_04317,mechanistic,pair_core,ETH-LAD 5-HT6 receptor pharmacology assay,ETH-LAD,5-HT6,target,{compound} {entity} receptor pharmacology assay
mechanistic_04318,mechanistic,pair_core,ETH-LAD 5-HT6 functional assay agonist antagonist,ETH-LAD,5-HT6,target,{compound} {entity} functional assay agonist antagonist
mechanistic_04319,mechanistic,pair_core,ETH-LAD 5-HT7 binding affinity Ki,ETH-LAD,5-HT7,target,{compound} {entity} binding affinity Ki
