doi,author_position,display_name,author_id,identity_confidence,identity_review_id,previous_author_id
10.1001/jamapsychiatry.2026.0255,18,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5133714746
10.1002/hbm.22562,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-021,orcid:0000-0002-6423-9411
10.1002/hbm.22833,5,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-022,orcid:0000-0002-6423-9411
10.1002/hbm.23224,8,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-023,orcid:0000-0002-6423-9411
10.1002/hbm.23234,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-024,orcid:0000-0002-6423-9411
10.1002/hbm.70209,8,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-025,orcid:0000-0002-6423-9411
10.1002/hbm.70596,8,Leor Roseman,orcid:0000-0001-9990-6029,curated_openalex_to_orcid,,openalex:A5139783089
10.1002/hbm.70596,14,Robin L. Carhart‐Harris,orcid:0000-0002-6062-7150,curated_openalex_to_orcid,,openalex:A5139833133
10.1002/hup.2836,16,Lucas C. Quarantini,orcid:0000-0002-8807-8464,orcid,author-review-20260906-001,orcid:0000-0002-0389-1940
10.1007/s00213-014-3714-z,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-026,orcid:0000-0002-6423-9411
10.1007/s00213-017-4754-y,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-027,orcid:0000-0002-6423-9411
10.1007/s00213-017-4820-5,9,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-028,orcid:0000-0002-6423-9411
10.1007/s00213-021-05999-1,7,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-029,orcid:0000-0002-6423-9411
10.1007/s00213-022-06187-5,10,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-030,orcid:0000-0002-6423-9411
10.1007/s11064-026-04727-5,3,Matthias E. Liechti,orcid:0000-0002-1765-9659,curated_openalex_to_orcid,,openalex:A5130338438
10.1007/s11306-023-02034-6,3,Sophie Geyrhofer,orcid:0000-0002-7764-4053,orcid,author-review-20260906-002,orcid:0000-0001-5687-2586
10.1007/s11306-023-02034-6,5,Robert A. Keyzers,orcid:0000-0002-7658-7421,orcid,author-review-20260906-004,orcid:0000-0002-7786-8313
10.1007/s11469-024-01253-9,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-031,orcid:0000-0002-6423-9411
10.1007/s12152-023-09536-z,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-032,orcid:0000-0002-6423-9411
10.1016/j.biopsych.2013.12.015,23,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-033,orcid:0000-0002-6423-9411
10.1016/j.bpsc.2023.03.009,9,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-034,orcid:0000-0002-6423-9411
10.1016/j.comppsych.2025.152619,13,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-035,orcid:0000-0002-6423-9411
10.1016/j.concog.2019.01.011,11,Bruce Greyson,orcid:0000-0002-2192-7898,orcid,author-review-20260906-018,orcid:0000-0001-7641-6916
10.1016/j.concog.2020.103070,9,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-036,orcid:0000-0002-6423-9411
10.1016/j.eclinm.2024.102799,10,David Nutt,orcid:0000-0002-1286-1401,curated_openalex_to_orcid,,openalex:A5113982589
10.1016/j.euroneuro.2016.03.018,14,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-037,orcid:0000-0002-6423-9411
10.1016/j.euroneuro.2025.06.003,3,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-038,orcid:0000-0002-6423-9411
10.1016/j.forsciint.2020.110298,1,Sarah Eller,orcid:0000-0003-2200-6959,orcid,author-review-20260906-005,orcid:0000-0003-2594-8415
10.1016/j.genhosppsych.2026.04.005,9,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5133891430
10.1016/j.jad.2018.01.006,7,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-039,orcid:0000-0002-6423-9411
10.1016/j.jad.2023.04.081,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-040,orcid:0000-0002-6423-9411
10.1016/j.jad.2024.02.089,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-041,orcid:0000-0002-6423-9411
10.1016/j.jad.2025.01.054,11,Roger S. McIntyre,orcid:0000-0003-4733-2523,orcid,author-review-20260906-009,orcid:0000-0003-4013-1112
10.1016/j.jad.2025.04.119,8,Roger S McIntyre,orcid:0000-0003-4733-2523,orcid,author-review-20260906-010,orcid:0000-0003-4013-1112
10.1016/j.jad.2025.120476,13,Roger S. McIntyre,orcid:0000-0003-4733-2523,orcid,author-review-20260906-011,orcid:0000-0003-4013-1112
10.1016/j.jad.2025.121081,8,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5121579344
