paper_id,doi,paper_openalex_id,author_id,display_name,canonical_name,openalex_author_id,orcid,author_position,author_position_label,is_first_author,is_last_author,source,identity_confidence,source_author_id,source_orcid,source_openalex_author_id,identity_review_id
paper:10.1002/advs.202416481,10.1002/advs.202416481,https://openalex.org/W4409119590,openalex:A5006917915,Hongshuang Wang,hongshuang wang,https://openalex.org/A5006917915,,7,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5006917915,0009-0001-8797-4822,https://openalex.org/A5006917915,
paper:10.1002/advs.202500808,10.1002/advs.202500808,https://openalex.org/W4408306509,openalex:A5006917915,Hongshuang Wang,hongshuang wang,https://openalex.org/A5006917915,,3,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5006917915,0009-0001-8797-4822,https://openalex.org/A5006917915,
paper:10.1002/brb3.1600,10.1002/brb3.1600,https://openalex.org/W3012127023,openalex:A5120143119,Hongjun Tian,hongjun tian,https://openalex.org/A5120143119,,3,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5120143119,0000-0002-3919-3749,https://openalex.org/A5120143119,
paper:10.1002/jat.1207,10.1002/jat.1207,https://openalex.org/W2039437340,openalex:A5100417026,Cheng Wang,cheng wang,https://openalex.org/A5100417026,,5,last,False,True,openalex,openalex_author_id_orcid_conflict,openalex:A5100417026,0000-0002-8315-6232,https://openalex.org/A5100417026,
paper:10.1002/jnr.22367,10.1002/jnr.22367,https://openalex.org/W2082698879,openalex:A5054206531,Gregory M. Miller,gregory m. miller,https://openalex.org/A5054206531,,8,last,False,True,openalex,openalex_author_id_orcid_conflict,openalex:A5054206531,0009-0005-7397-9277,https://openalex.org/A5054206531,
paper:10.1002/rcm.919,10.1002/rcm.919,https://openalex.org/W1965314215,openalex:A5038134435,Jordi Segura,jordi segura,https://openalex.org/A5038134435,,6,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5038134435,0000-0002-2463-752X,https://openalex.org/A5038134435,
paper:10.1007/s00213-005-0174-5,10.1007/s00213-005-0174-5,https://openalex.org/W2007549333,openalex:A5054206531,Gregory M. Miller,gregory m. miller,https://openalex.org/A5054206531,,2,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5054206531,0009-0005-7397-9277,https://openalex.org/A5054206531,
paper:10.1007/s00406-020-01221-z,10.1007/s00406-020-01221-z,https://openalex.org/W3113943946,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,5,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0000-0002-8741-9394,https://openalex.org/A5008457324,
paper:10.1007/s10565-024-09981-3,10.1007/s10565-024-09981-3,https://openalex.org/W4406232128,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,8,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0000-0002-8741-9394,https://openalex.org/A5008457324,
paper:10.1016/j.bbi.2018.09.007,10.1016/j.bbi.2018.09.007,https://openalex.org/W2890424866,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,1,first,True,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0009-0003-3484-3735,https://openalex.org/A5008457324,
paper:10.1016/j.biopsych.2010.12.015,10.1016/j.biopsych.2010.12.015,https://openalex.org/W1976392245,openalex:A5100603563,Xiaoyuan Li,xiaoyuan li,https://openalex.org/A5100603563,,7,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5100603563,0000-0002-4483-1960,https://openalex.org/A5100603563,
paper:10.1016/j.biopsych.2011.09.030,10.1016/j.biopsych.2011.09.030,https://openalex.org/W2094166526,openalex:A5100603563,Xiaoyuan Li,xiaoyuan li,https://openalex.org/A5100603563,,3,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5100603563,0000-0002-8328-3207,https://openalex.org/A5100603563,
paper:10.1016/j.biopsych.2018.12.014,10.1016/j.biopsych.2018.12.014,https://openalex.org/W2907856418,openalex:A5100603563,Xiaoyuan Li,xiaoyuan li,https://openalex.org/A5100603563,,4,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5100603563,0000-0002-8328-3207,https://openalex.org/A5100603563,
paper:10.1016/j.brainres.2012.02.070,10.1016/j.brainres.2012.02.070,https://openalex.org/W2070900717,openalex:A5024589429,Jay Yang,jay yang,https://openalex.org/A5024589429,,5,last,False,True,openalex,openalex_author_id_orcid_conflict,openalex:A5024589429,0009-0002-4332-1384,https://openalex.org/A5024589429,
paper:10.1016/j.ejmech.2024.117049,10.1016/j.ejmech.2024.117049,https://openalex.org/W4404297527,openalex:A5006917915,Hongshuang Wang,hongshuang wang,https://openalex.org/A5006917915,,9,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5006917915,0009-0001-8797-4822,https://openalex.org/A5006917915,
paper:10.1016/j.forsciint.2018.07.014,10.1016/j.forsciint.2018.07.014,https://openalex.org/W2884356544,openalex:A5113861251,Yeow Kuan Chong,yeow kuan chong,https://openalex.org/A5113861251,,2,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5113861251,0000-0003-2743-2316,https://openalex.org/A5113861251,
paper:10.1016/j.forsciint.2020.110327,10.1016/j.forsciint.2020.110327,https://openalex.org/W3022983922,openalex:A5113861251,Yeow Kuan Chong,yeow kuan chong,https://openalex.org/A5113861251,,4,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5113861251,0009-0006-7700-5856,https://openalex.org/A5113861251,
paper:10.1016/j.jaac.2023.05.031,10.1016/j.jaac.2023.05.031,https://openalex.org/W4382930062,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,1,first,True,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0000-0002-8741-9394,https://openalex.org/A5008457324,
paper:10.1016/j.jad.2017.11.034,10.1016/j.jad.2017.11.034,https://openalex.org/W2768010984,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,5,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0009-0003-3484-3735,https://openalex.org/A5008457324,
paper:10.1016/j.jad.2018.12.005,10.1016/j.jad.2018.12.005,https://openalex.org/W2904670852,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,2,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0000-0002-8741-9394,https://openalex.org/A5008457324,
paper:10.1016/j.jad.2019.02.044,10.1016/j.jad.2019.02.044,https://openalex.org/W2916645367,openalex:A5100367445,Gang Wang,gang wang,https://openalex.org/A5100367445,,11,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5100367445,0009-0001-6266-0026,https://openalex.org/A5100367445,
paper:10.1016/j.jad.2019.03.071,10.1016/j.jad.2019.03.071,https://openalex.org/W2933759264,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,3,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0009-0003-3484-3735,https://openalex.org/A5008457324,
paper:10.1016/j.jad.2019.08.012,10.1016/j.jad.2019.08.012,https://openalex.org/W2967050127,openalex:A5008457324,Yanling Zhou,yanling zhou,https://openalex.org/A5008457324,,2,middle,False,False,openalex,openalex_author_id_orcid_conflict,openalex:A5008457324,0009-0003-3484-3735,https://openalex.org/A5008457324,
