paper_id,doi,paper_openalex_id,author_id,display_name,canonical_name,raw_author_name,openalex_author_id,orcid,author_position,author_position_label,is_first_author,is_last_author,source,identity_confidence,source_author_id,source_orcid,source_openalex_author_id,source_display_name,identity_review_id,source_author_position,author_list_review_id
paper:10.1002/advs.202303503,10.1002/advs.202303503,https://openalex.org/W4390397319,openalex:A5111102750,Yi Fan,yi fan,Yi Fan,https://openalex.org/A5111102750,,7,middle,False,False,openalex,openalex_author_id,openalex:A5111102750,,https://openalex.org/A5111102750,Yi Fan,,7,author-list-20260906-001
paper:10.1002/advs.202303503,10.1002/advs.202303503,https://openalex.org/W4390397319,openalex:A5111102750,Yi Fan,yi fan,Yi Fan,https://openalex.org/A5111102750,,14,middle,False,False,openalex,openalex_author_id,openalex:A5111102750,,https://openalex.org/A5111102750,Yi Fan,,14,author-list-20260906-001
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5016090152,Aurora Enea,aurora enea,Aurora Enea,https://openalex.org/A5016090152,,14,middle,False,False,openalex,openalex_author_id,openalex:A5016090152,,https://openalex.org/A5016090152,Aurora Enea,,14,author-list-20260906-003
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5038875286,Giuditta di Melchiorre,giuditta di melchiorre,Giuditta di Melchiorre,https://openalex.org/A5038875286,,15,middle,False,False,openalex,openalex_author_id,openalex:A5038875286,,https://openalex.org/A5038875286,Giuditta Di Melchiorre,,15,author-list-20260906-003
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5016090152,Aurora Enea,aurora enea,Aurora Enea,https://openalex.org/A5016090152,,26,middle,False,False,openalex,openalex_author_id,openalex:A5016090152,,https://openalex.org/A5016090152,Aurora Enea,,26,author-list-20260906-003
paper:10.1002/hup.1242,10.1002/hup.1242,https://openalex.org/W2145462275,openalex:A5038875286,Giuditta di Melchiorre,giuditta di melchiorre,Giuditta di Melchiorre,https://openalex.org/A5038875286,,27,middle,False,False,openalex,openalex_author_id,openalex:A5038875286,,https://openalex.org/A5038875286,Giuditta Di Melchiorre,,27,author-list-20260906-003
paper:10.1016/j.jad.2020.01.002,10.1016/j.jad.2020.01.002,https://openalex.org/W2997141132,orcid:0000-0003-2371-4789,Wei Zheng,wei zheng,Wei Zheng,https://openalex.org/A5100777014,0000-0003-2371-4789,1,first,True,False,openalex,orcid,openalex:A5100777014,0000-0003-2371-4789,https://openalex.org/A5100777014,Wei Zheng,,1,author-list-20260906-017
paper:10.1016/j.jad.2020.01.002,10.1016/j.jad.2020.01.002,https://openalex.org/W2997141132,orcid:0000-0003-2371-4789,Wei Zheng,wei zheng,Wei Zheng,https://openalex.org/A5100777014,0000-0003-2371-4789,4,middle,False,False,openalex,orcid,openalex:A5100777014,0000-0003-2371-4789,https://openalex.org/A5100777014,Wei Zheng,,5,author-list-20260906-017
paper:10.1016/j.neuroimage.2018.12.011,10.1016/j.neuroimage.2018.12.011,https://openalex.org/W2903723860,orcid:0000-0001-5457-5932,George A. Mashour,george a. mashour,George A. Mashour,https://openalex.org/A5080287940,0000-0001-5457-5932,7,middle,False,False,openalex,orcid,openalex:A5080287940,0000-0001-5457-5932,https://openalex.org/A5080287940,George A. Mashour,,7,
paper:10.1016/j.neuroimage.2018.12.011,10.1016/j.neuroimage.2018.12.011,https://openalex.org/W2903723860,orcid:0000-0001-5457-5932,George A. Mashour,george a. mashour,George A. Mashour,https://openalex.org/A5080287940,0000-0001-5457-5932,17,middle,False,False,openalex,orcid,openalex:A5080287940,0000-0001-5457-5932,https://openalex.org/A5080287940,George A. Mashour,,17,
