paper_id,doi,paper_openalex_id,author_id,display_name,canonical_name,openalex_author_id,orcid,author_position,author_position_label,is_first_author,is_last_author,source,identity_confidence
paper:10.1002/hup.2836,10.1002/hup.2836,https://openalex.org/W4213037518,orcid:0000-0002-0389-1940,Ana Paula Jesus‐Nunes,ana paula jesus‐nunes,https://openalex.org/A5044568755,0000-0002-0389-1940,1,first,True,False,openalex,orcid
paper:10.1002/hup.2836,10.1002/hup.2836,https://openalex.org/W4213037518,orcid:0000-0002-0389-1940,Lucas C. Quarantini,lucas c. quarantini,,0000-0002-0389-1940,16,last,False,True,openalex,orcid
paper:10.1007/s11306-023-02034-6,10.1007/s11306-023-02034-6,https://openalex.org/W4385476011,orcid:0000-0001-5687-2586,Sophie Geyrhofer,sophie geyrhofer,,0000-0001-5687-2586,3,middle,False,False,openalex,orcid
paper:10.1007/s11306-023-02034-6,10.1007/s11306-023-02034-6,https://openalex.org/W4385476011,orcid:0000-0001-5687-2586,Joanne E. Harvey,joanne e. harvey,https://openalex.org/A5073540124,0000-0001-5687-2586,4,middle,False,False,openalex,orcid
paper:10.1007/s11306-023-02034-6,10.1007/s11306-023-02034-6,https://openalex.org/W4385476011,orcid:0000-0002-7786-8313,Robert A. Keyzers,robert a. keyzers,,0000-0002-7786-8313,5,middle,False,False,openalex,orcid
paper:10.1007/s11306-023-02034-6,10.1007/s11306-023-02034-6,https://openalex.org/W4385476011,orcid:0000-0002-7786-8313,Susan Schenk,susan schenk,https://openalex.org/A5006357330,0000-0002-7786-8313,6,last,False,True,openalex,orcid
paper:10.1016/j.concog.2019.01.011,10.1016/j.concog.2019.01.011,https://openalex.org/W2911924713,orcid:0000-0001-7641-6916,Vanessa Charland‐Verville,vanessa charland‐verville,https://openalex.org/A5016084069,0000-0001-7641-6916,3,middle,False,False,openalex,orcid
paper:10.1016/j.concog.2019.01.011,10.1016/j.concog.2019.01.011,https://openalex.org/W2911924713,orcid:0000-0001-7641-6916,Bruce Greyson,bruce greyson,,0000-0001-7641-6916,11,middle,False,False,openalex,orcid
paper:10.1016/j.forsciint.2020.110298,10.1016/j.forsciint.2020.110298,https://openalex.org/W3017115797,orcid:0000-0003-2594-8415,Sarah Eller,sarah eller,,0000-0003-2594-8415,1,first,True,False,openalex,orcid
paper:10.1016/j.forsciint.2020.110298,10.1016/j.forsciint.2020.110298,https://openalex.org/W3017115797,orcid:0000-0003-2594-8415,Tiago Franco de Oliveira,tiago franco de oliveira,https://openalex.org/A5050397107,0000-0003-2594-8415,9,last,False,True,openalex,orcid
