doi,mapping_status,current_pmid,verified_pmid,current_pmcid,verified_pmcid,verified_doi,idconv_status,idconv_error
10.1001/archgenpsychiatry.2010.90,pmcid_verified,20679587,20679587,PMC3000408,PMC3000408,10.1001/archgenpsychiatry.2010.90,,
10.1001/archgenpsychiatry.2011.156,pmcid_verified,22147810,22147810,PMC3538835,PMC3538835,10.1001/archgenpsychiatry.2011.156,,
10.1001/archgenpsychiatry.2011.56,no_pmcid,21646575,,,,10.1001/archgenpsychiatry.2011.56,error,Identifier not found in PMC
10.1001/jama.2023.0713,pmcid_verified,36853250,36853250,PMC9975904,PMC9975904,10.1001/jama.2023.0713,,
10.1001/jama.2023.14530,pmcid_verified,37651119,37651119,PMC10472268,PMC10472268,10.1001/jama.2023.14530,,
10.1001/jama.2023.2063,pmcid_verified,36826834,36826834,PMC9960023,PMC9960023,10.1001/jama.2023.2063,,
10.1001/jama.2023.6454,pmcid_verified,37219554,37219554,PMC10208139,PMC10208139,10.1001/jama.2023.6454,,
10.1001/jamahealthforum.2022.1618,pmcid_verified,36219016,36219016,PMC10198298,PMC10198298,10.1001/jamahealthforum.2022.1618,,
10.1001/jamahealthforum.2024.1653,pmcid_verified,38941086,38941086,PMC11214114,PMC11214114,10.1001/jamahealthforum.2024.1653,,
10.1001/jamahealthforum.2024.2014,pmcid_verified,39058507,39058507,PMC11282441,PMC11282441,10.1001/jamahealthforum.2024.2014,,
10.1001/jamahealthforum.2024.2807,pmcid_verified,39240579,39240579,PMC11380100,PMC11380100,10.1001/jamahealthforum.2024.2807,,
10.1001/jamainternmed.2023.0750,pmcid_verified,36951832,36951832,PMC10037203,PMC10037203,10.1001/jamainternmed.2023.0750,,
10.1001/jamanetworkopen.2020.13211,pmcid_verified,32785636,32785636,PMC7424409,PMC7424409,10.1001/jamanetworkopen.2020.13211,,
10.1001/jamanetworkopen.2020.4693,pmcid_verified,32437573,32437573,PMC7243091,PMC7243091,10.1001/jamanetworkopen.2020.4693,,
10.1001/jamanetworkopen.2022.44514,pmcid_verified,36454569,36454569,PMC9716381,PMC9716381,10.1001/jamanetworkopen.2022.44514,,
10.1001/jamanetworkopen.2023.12434,pmcid_verified,37155171,37155171,PMC10167566,PMC10167566,10.1001/jamanetworkopen.2023.12434,,
10.1001/jamanetworkopen.2023.12443,pmcid_verified,37155164,37155164,PMC10167565,PMC10167565,10.1001/jamanetworkopen.2023.12443,,
10.1001/jamanetworkopen.2023.14406,pmcid_verified,37204789,37204789,PMC10199354,PMC10199354,10.1001/jamanetworkopen.2023.14406,,
10.1001/jamanetworkopen.2023.2278,pmcid_verified,36920397,36920397,PMC10018324,PMC10018324,10.1001/jamanetworkopen.2023.2278,,
10.1001/jamanetworkopen.2023.28005,pmcid_verified,37552477,37552477,PMC10410485,PMC10410485,10.1001/jamanetworkopen.2023.28005,,
10.1001/jamanetworkopen.2023.28817,pmcid_verified,37578792,37578792,PMC10425830,PMC10425830,10.1001/jamanetworkopen.2023.28817,,
10.1001/jamanetworkopen.2023.47886,pmcid_verified,38117498,38117498,PMC10733809,PMC10733809,10.1001/jamanetworkopen.2023.47886,,
10.1001/jamanetworkopen.2023.52844,pmcid_verified,38285446,38285446,PMC10825723,PMC10825723,10.1001/jamanetworkopen.2023.52844,,
10.1001/jamanetworkopen.2023.54719,pmcid_verified,38315489,38315489,PMC10845001,PMC10845001,10.1001/jamanetworkopen.2023.54719,,
10.1001/jamanetworkopen.2023.54746,pmcid_verified,38315484,38315484,PMC10844991,PMC10844991,10.1001/jamanetworkopen.2023.54746,,
10.1001/jamanetworkopen.2023.56430,pmcid_verified,38411964,38411964,PMC10900965,PMC10900965,10.1001/jamanetworkopen.2023.56430,,
10.1001/jamanetworkopen.2023.9321,pmcid_verified,37083664,37083664,PMC10122167,PMC10122167,10.1001/jamanetworkopen.2023.9321,,
10.1001/jamanetworkopen.2024.0953,pmcid_verified,38446480,38446480,PMC10918550,PMC10918550,10.1001/jamanetworkopen.2024.0953,,
10.1001/jamanetworkopen.2024.14650,no_pmcid,38833254,,,,10.1001/jamanetworkopen.2024.14650,error,Identifier not found in PMC
10.1001/jamanetworkopen.2024.15842,pmcid_verified,38869899,38869899,PMC11177167,PMC11177167,10.1001/jamanetworkopen.2024.15842,,
10.1001/jamanetworkopen.2024.17786,pmcid_verified,38916891,38916891,PMC11200139,PMC11200139,10.1001/jamanetworkopen.2024.17786,,
10.1001/jamanetworkopen.2024.23336,no_pmcid,39058497,,,,10.1001/jamanetworkopen.2024.23336,error,Identifier not found in PMC
10.1001/jamanetworkopen.2024.3387,pmcid_verified,38551564,38551564,PMC10980961,PMC10980961,10.1001/jamanetworkopen.2024.3387,,
10.1001/jamanetworkopen.2024.45278,pmcid_verified,39546312,39546312,PMC11568463,PMC11568463,10.1001/jamanetworkopen.2024.45278,,
10.1001/jamanetworkopen.2024.48405,pmcid_verified,39621343,39621343,PMC11612830,PMC11612830,10.1001/jamanetworkopen.2024.48405,,
10.1001/jamanetworkopen.2024.49012,pmcid_verified,39589744,39589744,PMC11600228,PMC11600228,10.1001/jamanetworkopen.2024.49012,,
10.1001/jamanetworkopen.2024.49026,pmcid_verified,39636638,39636638,PMC11621983,PMC11621983,10.1001/jamanetworkopen.2024.49026,,
10.1001/jamanetworkopen.2024.59331,pmcid_verified,39946130,39946130,PMC11826358,PMC11826358,10.1001/jamanetworkopen.2024.59331,,
10.1001/jamanetworkopen.2024.5960,pmcid_verified,38598236,38598236,PMC11007582,PMC11007582,10.1001/jamanetworkopen.2024.5960,,
10.1001/jamanetworkopen.2025.11488,pmcid_verified,40392553,40392553,PMC12093188,PMC12093188,10.1001/jamanetworkopen.2025.11488,,
