doi,invalid_pdf_path,invalid_sha256,invalid_bytes,active_pdf_count,active_pdfs,identical_active_copy_count,current_canonical_exists,current_backend,current_identity_status,action
10.1007/s00787-024-02458-y,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1007_s00787-024-02458-y__f258f1d013.pdf,eba9c437c7523381ae649cbe5b3760779d3b9be1c9914742e0aa7f96a0e2a08f,1816,1,"[{""path"": ""/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s00787-024-02458-y__f258f1d013.pdf"", ""sha256"": ""0c4394f15af959c7ce4e88c091dd06891cfe7d43cc15775227e27fc7e6e9758c"", ""same_bytes_as_invalid"": false, ""bytes"": 558503}]",0,True,grobid,,retain_distinct_active_replacement
10.1007/s11255-022-03374-3,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1007_s11255-022-03374-3__16fbdc0673.pdf,2565782965cb01c6fcd0ad0c43582d5fa159b9b0819c05b40d75f43c2fee2e05,1817,0,[],0,False,,,no_active_copy
10.1007/s12105-018-0981-8,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1007_s12105-018-0981-8__1cc0ce9d9f.pdf,b96ebdb33632937dfe42237146b0e2ddc5b8aa5aa56bc8e826db75e38ef321b8,479324,0,[],0,False,,,no_active_copy
10.1016/j.jad.2020.02.023,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_j.jad.2020.02.023__f5c2f60b2f.pdf,975266133e9968661e67cabbebcd0c20841a66d3974e50d1f868020d3093d660,127468,0,[],0,False,,,no_active_copy
10.1016/j.josat.2023.209063,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_j.josat.2023.209063__7bbb4e2e7e.pdf,0de648417430875d62cc6d31b967cf34f74a57cb1fb2f01b1fe9c9fa08f759f5,1817,0,[],0,False,,,no_active_copy
10.1016/j.pmip.2023.100100,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_j.pmip.2023.100100__6c3b0a6e01.pdf,913558ebe2abccbdbb0e4ed586b413c22cc2be099bce30a2f21b69d324db8e46,1817,0,[],0,False,,,no_active_copy
10.1016/s0893-133x_00_00227-x,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_s0893-133x_00_00227-x__63afa8182d.pdf,bd3e06ad7308af4f9c9b14028ddca8d66962a18aa3bdcb6a8b47dc8bbe96f856,300526,0,[],0,False,,,no_active_copy
10.1016/s0893-133x_01_00423-7,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_s0893-133x_01_00423-7__b79b36e831.pdf,e1a9776110edb451ac6db327756d5dd3680458c58fd4a848333f9a1e43f30c71,361866,0,[],0,False,,,no_active_copy
10.1016/s0893-133x_98_00060-8,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1016_s0893-133x_98_00060-8__b4e5b739b7.pdf,11f35c517b10142696adcd88740831fbfeed5fc57375b0d08a4d0652c03b75b1,714992,0,[],0,False,,,no_active_copy
10.1017/s1047951117002761,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/invalid/10.1017_s1047951117002761__d84cb7c06b.pdf,2ba87fc82e8bd944e002d7acb0edd9a01e3521830aa0853be17f005da81c1cac,32151,0,[],0,False,,,no_active_copy
