SEARCH_TARGET_DOI,SEARCH_TARGET_TITLE,NEEDS_ARTIFACT,CURRENT_STATE,WHY_IN_QUEUE,ACTION_CATEGORY,PRIOR_BAD_ARTIFACT_DOI_DO_NOT_SEARCH,PRIOR_BAD_ARTIFACT_TITLE_DO_NOT_SEARCH,OLD_ARTIFACT_PROBLEM,EXACT_PDF_URLS_TO_TRY_FIRST,OTHER_CANDIDATE_URLS_REQUIRING_VALIDATION,PMCID_IF_ANY,PMC_LANDING_IF_ANY,DOI_LANDING,PRIOR_QUARANTINED_ARTIFACT_PATH,PRIOR_QUARANTINED_PDF_PATH,PRIORITY_TIER,KG_FINDING_COUNT,RELEVANCE_FLAGS,ACCEPTANCE_RULE
10.1192/j.eurpsy.2024.1440,"Intranasal esketamine efficacy as a treatment for treatment-resistant depression, case series",True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2024.1440,,unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11860403 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11860403/pdf/S0924933824014408a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E68F43C0FFB0CE44E000CC9DAB63219D/S0924933824014408a.pdf/div-class-title-intranasal-esketamine-efficacy-as-a-treatment-for-treatment-resistant-depression-case-series-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2024.1440,PMC11860403,https://pmc.ncbi.nlm.nih.gov/articles/PMC11860403/,https://doi.org/10.1192/j.eurpsy.2024.1440,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2024_1440.json,,P0_existing_kg_and_retained,13,flag_in_curated_claims | flag_in_claim_stubs,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2023.273,Improvement in Depression Symptoms Measured by Montgomery-Åsberg Depression Rating Scale and Quick Inventory of Depressive Symptomatology-Self Rated Items after Randomised Double-blind COMP360 Psilocybin Therapy for Treatment-resistant Depression,True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2023.273,Improvement in Depression Symptoms Measured by Montgomery-Åsberg Depression Rating Scale and Quick Inventory of Depressive Symptomatology-Self Rated Items after Randomised Double-blind COMP360 Psilocybin Therapy for Treatment-resistant Depression,unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC10595939 | https://pmc.ncbi.nlm.nih.gov/articles/PMC10595939/pdf/S0924933823002730a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F3C32199A96027A577FCD71CFBB0BCEC/S0924933823002730a.pdf/div-class-title-improvement-in-depression-symptoms-measured-by-montgomery-aasberg-depression-rating-scale-and-quick-inventory-of-depressive-symptomatology-self-rated-items-after-randomised-double-blind-comp360-psilocybin-therapy-for-treatment-resistant-depression-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2023.273,PMC10595939,https://pmc.ncbi.nlm.nih.gov/articles/PMC10595939/,https://doi.org/10.1192/j.eurpsy.2023.273,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2023_273.json,,P0_existing_kg_and_retained,7,flag_in_curated_claims | flag_in_claim_stubs,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2025.273,Effectiveness of Repeated Ketamine Infusions in Treatment Non-Responding Obsessive Compulsive Disorder: a Randomised Controlled Trial,True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2025.273,Obsessive-Compulsive Disorder O005 Effectiveness of Repeated Ketamine Infusions in Treatment Non-Responding Obsessive Compulsive Disorder: a Randomised Controlled Trial,unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC12438608 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F3A3588427867B9E65C9541C25EF5AA1/S0924933825002731a.pdf/div-class-title-effectiveness-of-repeated-ketamine-infusions-in-treatment-non-responding-obsessive-compulsive-disorder-a-randomised-controlled-trial-div.pdf | https://doi.org/10.1192/j.eurpsy.2025.273,PMC12438608,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438608/,https://doi.org/10.1192/j.eurpsy.2025.273,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2025_273.json,,P0_existing_kg_and_retained,5,flag_in_curated_claims | flag_in_claim_stubs,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2025.684,"Efficacy of Esketamine nasal spray in treatment-resistant depression: impact on depressive symptoms,hopelessness and suicide risk: A real-world evidence study.",True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2025.684,"Efficacy of Esketamine nasal spray in treatmentresistant depression: impact on depressive symptoms,hopelessness and suicide risk: A real-world evidence study",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC12437909 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2C20CA7A922AAEDC84977815423ADE87/S0924933825006844a.pdf/div-class-title-efficacy-of-esketamine-nasal-spray-in-treatment-resistant-depression-impact-on-depressive-symptoms-hopelessness-and-suicide-risk-a-real-world-evidence-study-div.pdf | https://doi.org/10.1192/j.eurpsy.2025.684,PMC12437909,https://pmc.ncbi.nlm.nih.gov/articles/PMC12437909/,https://doi.org/10.1192/j.eurpsy.2025.684,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2025_684.json,,P0_existing_kg_and_retained,15,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2025.10096,Esketamine use in real-world clinical practice in patients with treatment-resistant depression.,True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2025.10096,Esketamine use in real-world clinical practice in patients with treatment-resistant depression,unsegmented_proceedings_container | proceedings_container,,https://hal.science/hal-05226459v1/document | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BA7E2B3A3BD1CCE77B10DE8C4A301CF5/S0924933825100965a.pdf/div-class-title-esketamine-use-in-real-world-clinical-practice-in-patients-with-treatment-resistant-depression-div.pdf | https://doi.org/10.1192/j.eurpsy.2025.10096,PMC12646028,https://pmc.ncbi.nlm.nih.gov/articles/PMC12646028/,https://doi.org/10.1192/j.eurpsy.2025.10096,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2025_10096.json,,P0_existing_kg_and_retained,13,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1001/jamaoncol.2023.0351,Assessment of Psilocybin Therapy for Patients With Cancer and Major Depression Disorder,True,quarantined_no_active_artifact,Confirm a registered version/alias relationship or acquire the exact requested DOI; do not accept a merely similar title.,manual_conflicting_doi_needs_resolution,10.1001/jamaoncol.2023.0248,,target_text_with_conflicting_doi,,,PMC10102915,https://pmc.ncbi.nlm.nih.gov/articles/PMC10102915/,https://doi.org/10.1001/jamaoncol.2023.0351,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1001_jamaoncol_2023_0351.json,,P0_existing_kg_and_retained,11,flag_in_curated_claims,"Confirm a registered version/alias relationship or acquire the exact requested DOI; do not accept a merely similar title. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1093/ijnp/pyae059.567,"EFFICACY AND SAFETY OF INTRAVENOUS KETAMINE TREATMENT IN JAPANESE PATIENTS WITH TREATMENT-RESISTANT DEPRESSION: A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED TRIAL",True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.4088/jcp.8133su1c.02,"EFFICACY AND SAFETY OF INTRAVENOUS KETAMINE TREATMENT IN JAPANESE PATIENTS WITH TREATMENT-RESISTANT DEPRESSION: A DOUBLE-BLIND, RANDOMIZED, PLACEBO-CONTROLLED TRIAL",target_text_with_conflicting_doi | unsegmented_proceedings_container | proceedings_container,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814947/pdf/pyae059.567.pdf | https://doi.org/10.1093/ijnp/pyae059.567 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/e6/4c/pyae059.567.PMC11814947.pdf | https://europepmc.org/api/getPdf?pmcid=PMC11814947,PMC11814947,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814947/,https://doi.org/10.1093/ijnp/pyae059.567,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1093_ijnp_pyae059_567.json,,P0_existing_kg_and_retained,11,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2025.347,"Difficult-to-Treat Depression: Effectiveness, Functionality, and Quality of Life—Preliminary Results from a Real-World Prospective Cohort under Esketamine Treatment in Spain after 3-Month Follow-Up",True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2025.346,"Maternal antenatal depression is associated with metabolic alterations that predict birth outcomes, neurodevelopment and mental health of the child",identity_mismatch | unsegmented_proceedings_container | proceedings_container,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/6800692CA09F804BB6D3D9A0B0D72CE8/S0924933825003475a.pdf/div-class-title-difficult-to-treat-depression-effectiveness-functionality-and-quality-of-life-preliminary-results-from-a-real-world-prospective-cohort-under-esketamine-treatment-in-spain-after-3-month-follow-up-div.pdf | https://europepmc.org/api/getPdf?pmcid=PMC12437795,PMC12437795,https://pmc.ncbi.nlm.nih.gov/articles/PMC12437795/,https://doi.org/10.1192/j.eurpsy.2025.347,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2025_347.json,,P0_existing_kg_and_retained,11,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.1192/j.eurpsy.2025.471,Antidepressant effect of ketamine unrelated to dissociation: Results from an exploratory mediation analysis of the KET01-02 study,True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.1192/j.eurpsy.2025.471,Antidepressant effect of ketamine unrelated to dissociation: Results from an exploratory mediation analysis of the KET01-02 study,unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC12438753 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/21F881A7E562363D9047AF7A0BB686E9/S0924933825004717a.pdf/div-class-title-antidepressant-effect-of-ketamine-unrelated-to-dissociation-results-from-an-exploratory-mediation-analysis-of-the-ket01-02-study-div.pdf | https://doi.org/10.1192/j.eurpsy.2025.471,PMC12438753,https://pmc.ncbi.nlm.nih.gov/articles/PMC12438753/,https://doi.org/10.1192/j.eurpsy.2025.471,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_1192_j_eurpsy_2025_471.json,,P0_existing_kg_and_retained,11,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
10.17579/abstractbookdualdisorders-co-032,EFFECTIVENESS AND TOLERABILITY OF INTRANASAL ESKETAMINE IN TREATMENT-RESISTANT DEPRESSION AND SUBSTANCE USE DISORDERS: SERIAL OF CLINICAL CASES,True,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",manual_exact_item_from_proceedings,10.17579/abstractbookdualdisorders-co-021,CLINICAL CASE REPORTS CASOS CLÍNICOS COMPLICADOS CR-001 NAVIGATING THE COMPLEXITIES OF DUAL-DIAGNOSIS: A CASE DISCUSSION,identity_mismatch | unsegmented_proceedings_container | proceedings_container,,https://doi.org/10.17579/abstractbookdualdisorders-co-032,,,https://doi.org/10.17579/abstractbookdualdisorders-co-032,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/source_identity_quarantine_20260710/quarantined_artifacts/10_17579_abstractbookdualdisorders_co_032.json,,P0_existing_kg_and_retained,10,flag_in_curated_claims,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container. Require an exact requested DOI in document metadata/front matter and a normalized front-title match or title similarity >=0.90. Reject supplements, appendices, checklists, manuals, neighboring items, and whole containers unless the exact item is sliced. After import/conversion, accept only when the source-identity audit returns identity_verified=true; a curated registry relationship may substitute for exact DOI only when its recorded DOI and front-title gate both pass."
