doi,study_title,publication_type,study_journal,prescreen_decisions,retained_for_extraction_candidate,prescreen_decision,prescreen_action,prescreen_reason,deterministic_matched_terms
10.1007/7854_2015_421,Contribution of Impulsivity and Serotonin Receptor Neuroadaptations to the Development of an MDMA ('Ecstasy') Substance Use Disorder.,Journal Article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2015_421
10.1007/7854_2016_20,Interactions of Cathinone NPS with Human Transporters and Receptors in Transfected Cells,Journal Article,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_20
10.1007/7854_2016_29,The Discriminative Stimulus Properties of Hallucinogenic and Dissociative Anesthetic Drugs,"Journal Article | Research Support, Non-U.S. Gov't | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_29
10.1007/7854_2016_33,Reinforcing Effects of Cathinone NPS in the Intravenous Drug Self-Administration Paradigm.,"Journal Article | Research Support, N.I.H., Extramural | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_33
10.1007/7854_2016_35,"MDMA, Methylone, and MDPV: Drug-Induced Brain Hyperthermia and Its Modulation by Activity State and Environment.","Journal Article | Research Support, N.I.H., Extramural",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_35
10.1007/7854_2016_40,Inflammation Effects on Brain Glutamate in Depression: Mechanistic Considerations and Treatment Implications,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_40
10.1007/7854_2016_457,A Review of Hallucinogen Persisting Perception Disorder (HPPD) and an Exploratory Study of Subjects Claiming Symptoms of HPPD,"Journal Article | Research Support, Non-U.S. Gov't | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_457
10.1007/7854_2016_459,"Phenomenology, Structure, and Dynamic of Psychedelic States",Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_459
10.1007/7854_2016_461,Serotonergic Hallucinogen-Induced Visual Perceptual Alterations.,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_461
10.1007/7854_2016_464,Therapeutic Applications of Classic Hallucinogens.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_464
10.1007/7854_2016_466,Effect of Hallucinogens on Unconditioned Behavior.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_466
10.1007/7854_2016_472,New World Tryptamine Hallucinogens and the Neuroscience of Ayahuasca,Journal Article | Review,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_472
10.1007/7854_2016_54,"Predicting the Abuse Liability of Entactogen-Class, New and Emerging Psychoactive Substances via Preclinical Models of Drug Self-administration","Journal Article | Research Support, N.I.H., Extramural | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_54
10.1007/7854_2016_64,"Pharmacology and Toxicology of N-Benzylphenethylamine (""NBOMe"") Hallucinogens.","Journal Article | Research Support, N.I.H., Extramural | Research Support, U.S. Gov't, Non-P.H.S. | Review",Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2016_64
10.1007/7854_2017_34,Subanesthetic Dose Ketamine in Posttraumatic Stress Disorder: A Role for Reconsolidation During Trauma-Focused Psychotherapy?,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_34
10.1007/7854_2017_473,Effects of Hallucinogens on Neuronal Activity.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_473
10.1007/7854_2017_474,Classic Hallucinogens and Mystical Experiences: Phenomenology and Neural Correlates.,book-chapter,Current topics in behavioral neurosciences,retain,True,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",book_chapter | 10.1007/7854_2017_474
