table_version,run_id,generated_at_utc,prescreen_decision_id,doi,study_title,study_year,has_abstract,abstract_char_count,candidate_context_count,context_compounds,context_entities,context_entity_types,context_routing_tags,deterministic_action,deterministic_reason,deterministic_confidence,deterministic_matched_terms,deterministic_supporting_quote,deterministic_routing_tags,routing_tags,prescreen_decision,prescreen_action,prescreen_reason,retained_for_extraction_candidate,metadata_enrichment_status,metadata_enrichment_run_id,old_prescreen_decision,old_prescreen_action,old_prescreen_reason
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,00043a78a1633b580071a3dd,10.1007/0-306-46864-6_53,Determination of the binding-site structure of the atrial natriuretic peptide receptor by stepwise-affinity alkylation,2006,True,1474,1,LSD,5-HT2C,target,molecular_target,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Determination of the binding-site structure of the atrial natriuretic peptide receptor by stepwise-affinity alkylation,molecular_target,molecular_target,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; context entity terms present.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,ff6e0a1bd71ebe5b0955485b,10.1007/0-306-46881-6_243,Novel opioid peptides as kappa opioid receptor antagonists,2006,True,1664,1,Ibogaine,kappa opioid receptor (OPRK1),target,molecular_target,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Novel opioid peptides as kappa opioid receptor antagonists,molecular_target,molecular_target,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; context entity terms present.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,fa06713848ff24a645116944,10.1007/0-306-48581-8_103,Social Anxiety Disorder 2,2006,False,0,0,,,,,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Social Anxiety Disorder 2,,,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,9a9d72ac370b2f534fbd4347,10.1007/0-306-48581-8_56,Generalized Anxiety Disorder,2006,False,0,1,Ayahuasca,Generalized anxiety disorder,indication,clinical_outcome,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Generalized Anxiety Disorder,clinical_outcome,clinical_outcome,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,84db356ec8be70f0ec578be3,10.1007/0-387-23370-9_6,Obsessive-Compulsive Disorder: Essential Phenomenology and Overlap with other Anxiety Disorders,2005,False,0,1,Ayahuasca,Obsessive-compulsive disorder,indication,clinical_outcome,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Obsessive-Compulsive Disorder: Essential Phenomenology and Overlap with other Anxiety Disorders,clinical_outcome,clinical_outcome,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,03a410af12634538c3ae77da,10.1007/0-387-23370-9_7,Trichotillomania: An Obsessive-Compulsive Spectrum Disorder?,2005,False,0,1,Ayahuasca,Obsessive-compulsive disorder,indication,clinical_outcome,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Trichotillomania: An Obsessive-Compulsive Spectrum Disorder?,clinical_outcome,clinical_outcome,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,ef9f0eecdf08842fb91b9274,10.1007/3-540-26660-7_52,Anorexia nervosa und Bulimia nervosa,2005,False,0,1,Psilocybin,Anorexia nervosa,indication,clinical_outcome,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Anorexia nervosa und Bulimia nervosa,clinical_outcome,clinical_outcome,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,b94b9470d16a892ff9bd8a00,10.1007/3-540-28746-9_4,Modelle der MDA,2007,False,0,0,,,,,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Modelle der MDA,,,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,945052e8997498fe0e30f5ea,10.1007/3-540-29662-x_1165,H2 receptor blocker,2004,False,0,0,,,,,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,H2 receptor blocker,,,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
0.1,dry_run_publication_format_audit,2026-07-10T00:00:00+00:00,bcdfe9673c2029d0f9c89ac2,10.1007/3-540-29719-0_1347,Psychedelic Hallucinogen,2006,False,0,0,,,,,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",1.0,book_chapter | book-chapter,Psychedelic Hallucinogen,,,exclude,exclude_non_evidence_artifact,"Record is a book chapter, dissertation/thesis, conference/poster/meeting abstract, abstract-book contribution, or visual essay rather than an eligible source article, review, or meta-analysis.",False,candidate_metadata,metadata_enrichment_2026_05_27_225955,exclude,exclude_missing_abstract,No abstract available for title/abstract screening.
