doi,search_record_class,search_record_class_label,recommended_action,remove_as_container,classification_confidence,record_level_form,doi_pattern_family,doi_individual_locator_evidence,requested_title,study_year,study_journal,publication_type,authors,abstract_present,abstract_char_count,abstract_excerpt,metadata_provider,metadata_provider_chain,title_container_signal,title_matches_manifest,artifact_identity_status,artifact_document_doi,artifact_document_title,artifact_title_similarity,target_title_exact_in_artifact,target_doi_literal_in_artifact,current_kg_finding_count,artifact_scope_assessment,decision_reason,caveats,separate_evidence_screening_note
10.1016/j.eurpsy.2016.01.1060,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_or_journal_item,elsevier_european_psychiatry_item,journal article sequence ending in an item number,The “Endless Trip”: Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD),2016,European Psychiatry,article,Laura Orsolini; Alessandro Valchera; Duccio Papanti; R. Vecchiotti; Domenico De Berardis,True,1732,"Introduction Hallucinogen Persisting Perception Disorder (HPPD) is a syndrome characterized by prolonged or reoccurring perceptual symptoms, reminiscent of acute hallucinogen effects. HPPD was associated with a broader range of LSD (lysergic acid diethylamide)-like substances, including cannabis, MDMA (methylenedioxymethamphetamine), psilocybin, mescaline and other psychostimulants. Symptomatology mainly comprises visual disorders (i.e., geometric pseudo-hallucinations, halos, flashes of colours",openalex,openalex,False,True,target_text_with_conflicting_doi,10.1016/j.eurpsy.2016.01.1059,"The ""Endless Trip"": Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD)",1.0,False,True,0,acquired file does not reliably isolate the target item from the larger container,"The DOI has a journal article sequence ending in an item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1016/j.eurpsy.2017.11.007,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_or_journal_item,elsevier_european_psychiatry_item,journal article sequence ending in an item number,TRIMAGE: A dedicated trimodality (PET/MR/EEG) imaging tool for schizophrenia,2018,European Psychiatry,journal-article,Alberto Del Guerra; Salleh Ahmad; Mihai Avram; Nicola Belcari; Arne Berneking; Laura Biagi; Maria Giuseppina Bisogni; Felix Brandl; Jorge Cabello; Niccolò Camarlinghi,True,1723,"Simultaneous PET/MR/EEG (Positron Emission Tomography - Magnetic Resonance - Electroencephalography), a new tool for the investigation of neuronal networks in the human brain, is presented here within the framework of the European Union Project TRIMAGE. The trimodal, cost-effective PET/MR/EEG imaging tool makes use of cutting edge technology both in PET and in MR fields. A novel type of magnet (1.5T, non-cryogenic) has been built together with a PET scanner that makes use of the most advanced ph",pubmed,pubmed|unpaywall,False,True,verified_exact_doi,10.1016/j.eurpsy.2017.11.007,TRIMAGE: A dedicated trimodality (PET/MR/EEG) imaging tool for schizophrenia,1.0,True,True,0,"target item is present, but the acquired file was identified as a multi-item container","The DOI has a journal article sequence ending in an item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1016/s0924-9338(09)70667-4,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_or_journal_item,elsevier_pii_item,individual Elsevier PII-based DOI,Serotonin Transporter Concentration is Decreased in Cerebral Cortex but not in Striatum of Chronic MDMA (ecstasy) Users,2009,European Psychiatry,journal-article,S.J. Kish; T. McCluskey; J. Meyer; J.J. Warsh; D. Wilkins; A.A. Wilson; S. Houle,True,1566,"Background: Ecstasy (3,4-methylenedioxymethamphetamine, MDMA) is an amphetamine derivative that is used recreationally and is now being tested in clinical trials for treatment of posttraumatic stress disorder. Ecstasy can damage serotonin neurones in brain of experimental animals; however, relevance of these findings to the human is debated. Aim: To measure by positron emission tomography (PET) levels of binding to the serotonin transporter (SERT), a marker of serotonin neurones, in brain of chr",crossref,unpaywall|crossref,False,True,verified_exact_doi,10.1016/s0924-9338(09)70667-4,P01-46 SEROTONIN TRANSPORTER CONCENTRATION IS DECREASED IN CEREBRAL CORTEX BUT NOT IN STRIATUM OF CHRONIC MDMA (ECSTASY) USERS,0.9714,True,True,11,"target item is present, but the acquired file was identified as a multi-item container","The DOI has a individual Elsevier PII-based DOI; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1016/s0924-9338(15)30573-3,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_or_journal_item,elsevier_pii_item,individual Elsevier PII-based DOI,Temporal Dynamics of Antidepressant Ketamine Effects On Glutamine Cycling Follow Regional Fingerprints of Ampa and Nmda Receptor Densities,2015,European Psychiatry,article,Man Li; R. Demenescu; C. Metzger; Martin Walter,True,1623,Subanesthetic dose of ketamine was repeatedly shown to improve depressive symptoms with a short latency of 24 hours. We aimed to test if clinical time course of improvement is indeed mirrored by increased glutamine/glutamate ratio and if such effects would show a regional and temporal specificity in two anatomically and functionally distinct subdivisions of ACC. We used a glutamine sensitive magnetic resonance spectroscopy protocol at 7 Tesla to compare the longitudinal changes of glutamine/glut,openalex,openalex,False,True,target_text_with_conflicting_doi,10.1038/npp.2016.184,Temporal Dynamics of Antidepressant Ketamine Effects on Glutamine Cycling Follow Regional Fingerprints of AMPA and NMDA Receptor Densities,1.0,True,False,4,"container text includes the target title, but document-level DOI identity is not isolated","The DOI has a individual Elsevier PII-based DOI; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1017/cts.2019.110,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,cambridge_cts_item,terminal year-and-item number,"3525 Improvement in Suicidal Ideation after Repeated Ketamine Infusions: Relationship to Reductions in Symptoms of Posttraumatic Stress Disorder, Depression, and Pain.",2019,Journal of Clinical and Translational Science,journal-article,Cristina Sophia Albott; Kelvin O. Lim; Miriam K. Forbes; Paul Thuras; Joseph Wels; Susanna Tye; Paulo Shiroma,True,1898,"OBJECTIVES/SPECIFIC AIMS: Given the heightened risk for suicide seen in individuals with PTSD+MDD, this report explored the effect of repeated ketamine infusions on SI in a cohort of veterans. METHODS/STUDY POPULATION: Veterans with PTSD+MDD (n = 15) received six intravenous infusions of 0.5 mg/kg ketamine on a Monday-Wednesday-Friday schedule over a 12-day period. All subjects endorsed SI at baseline. Outcome measures included the Montgomery-Asberg Depression Rating Scale (MADRS) total score, M",crossref,pmc|unpaywall|crossref,False,True,verified_title_only,,Heart Rate Variability as a Predictor of Post-Operative Cognitive Dysfunction in Older Adults,0.3385,True,False,6,"container text includes the target title, but document-level DOI identity is not isolated","The DOI has a terminal year-and-item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1017/cts.2019.99,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,cambridge_cts_item,terminal year-and-item number,3447 Effects of intranasal ketamine on uncontrolled cancer related pain.,2019,Journal of Clinical and Translational Science,journal-article,Vinita Singh; Donald Harvey,True,14289,"OBJECTIVES/SPECIFIC AIMS: If intranasal ketamine can be utilized for pain control in cancer patients, this could provide them with superior analgesia and better quality of life, without the risk of significant respiratory depression associated with opioid medications. We seek to obtain preliminary data via a clinical trial addressing safety, feasibility, and utility of this novel technique for the treatment of persistent uncontrolled cancer pain. These findings would be an important initial step",crossref,pmc|unpaywall|crossref,False,True,verified_exact_doi,10.1017/cts.2019.99,Effects of exercise and a very low fat diet in metabolically abnormal obese adults,0.2987,False,True,0,"target item is present, but the acquired file was identified as a multi-item container","The DOI has a terminal year-and-item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1017/cts.2024.274,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,cambridge_cts_item,terminal year-and-item number,300 Psilocybin-induced changes in neural reactivity to alcohol and emotional cues in patients with alcohol use disorder: An fMRI pilot study,2024,Journal of Clinical and Translational Science,journal-article,B.A. Pagni; P.D. Petridis; S.K. Podrebarac; J. Grinband; E.D. Claus; M.P. Bogenschutz,True,1552,"OBJECTIVES/GOALS: This pilot study investigated psilocybin-induced changes in neural reactivity to alcohol and emotional cues in patients with alcohol use disorder (AUD). METHODS/STUDY POPULATION: Participants were recruited from a phase II, randomized, double-blind, placebo-controlled clinical trial investigating psilocybin-assisted therapy (PAT) for the treatment of AUD (NCT02061293). Eleven adult patients completed task-based blood oxygen dependent functional magnetic resonance imaging (fMRI)",crossref,pmc|unpaywall|crossref,False,True,verified_exact_doi,10.1017/cts.2024.274,Informatics and Data Science 298 Improving AI Assessment of Cutaneous Chronic Graft-Versus-Host Disease using Unlabeled Patient Photographs †,0.242,True,True,14,"target item is present, but the acquired file was identified as a multi-item container","The DOI has a terminal year-and-item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1017/cts.2024.387,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,cambridge_cts_item,terminal year-and-item number,453 Ketamine Promotes Sustained Brain-Derived Neurotrophic Factor Levels in the Corticoaccumbens Circuit,2024,Journal of Clinical and Translational Science,article,Holly Chapman; Noelle C. Anastasio,True,1866,"OBJECTIVES/GOALS: Neuropsychiatric disorders classified as synaptopathies are marked by a glutamate-associated hypofrontality which impacts decision making and impulsivity. We hypothesized that behavioral efficacy of the psychoplastogen ketamine is mediated in part through lasting promotion of markers of synaptic strength in corticoaccumbens circuit. METHODS/STUDY POPULATION: Male, Sprague-Dawley rats received an intraperitoneal (i.p.) injection of saline, single ketamine (10 mg/kg; 1x/day), or ",openalex,pmc|openalex,False,True,identity_unverified,,Identification of candidate sudden arrhythmic deathcausing variants in a spontaneous animal model,0.3284,True,True,3,"container includes the target item, while its header or opening item identifies another contribution","The DOI has a terminal year-and-item number; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1093/ijnp/pyae059.031,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,oxford_ijnp_item,terminal abstract number after the supplement/article code,SUBGROUP ANALYSIS IN CHANGES IN QUALITY OF LIFE AND DEPRESSION SEVERITY SCORES BY LINE OF THERAPY IN PATIENTS TREATED WITH ESKETAMINE IN A REAL-WORLD SETTING ACROSS ANZ,2025,The International Journal of Neuropsychopharmacology,article,David Barton; Andrea Puig; Jarrad King; Ian B. Hickie,True,2947,"Abstract Background Treatment resistant Major Depressive Disorder (MDD) can be accompanied by lengthy and ineffective treatment periods that prolong patient suffering, reduce expectations of remission and reinforce negative cognitions (Leuchter 2009). Esketamine (a NMDA receptor antagonist) has been approved in Australia and New Zealand (ANZ) as a third-line antidepressant (AD) treatment to provide clinicians with an additional therapeutic option for this population. Aims and Objectives This ana",openalex,pmc|openalex,False,True,identity_unverified,,"STRIATAL FUNCTIONAL CONNECTIVITY PATTERN ASSOCIATED WITH EMOTIONAL SYMPTOMS AND COGNITIVE PERFORMANCE IN MANIC/HYPOMANIC, EUTHYMIC AND DEPRESSIVE STATES OF BIPOLAR DISORDER",0.2405,True,True,6,"container includes the target item, while its header or opening item identifies another contribution","The DOI has a terminal abstract number after the supplement/article code; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
10.1093/ijnp/pyae059.036,A,A_individual_record_with_container_artifact,retain_search_record_and_reacquire_or_slice_exact_item_text,False,high,individual_conference_abstract,oxford_ijnp_item,terminal abstract number after the supplement/article code,"EFFECT OF TRAMADOL AS AN ADJUNCTIVE PHARMACOLOGICAL TREATMENT FOR MAJOR DEPRESSIVE DISORDER: A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED TRIAL",2025,The International Journal of Neuropsychopharmacology,article,André Campiolo Boin; Luis Felipe Scarabelot; Camila Marcelino Loureiro; Daiane Leite da Roza; Frederico Guilherme Graeff; Cristina Marta Del‐Ben,True,4430,"Abstract Background Usual pharmacological treatment of Major Depressive Disorder (MDD) with serotonin/noradrenaline reuptake inhibitors is effective but clinical response may take several weeks to emerge [1], and around 30% of the patients will not achieve complete remission [2,3]. Adjunctive drugs may be an alternative to accelerate clinical improvement. Opioid agents have been effective in reversing depressed mood in preclinical and clinical studies. The opioid analgesic tramadol combines a we",openalex,pmc|openalex,False,True,identity_mismatch,10.1002/hup.1019,CLINICAL AND ECONOMIC BURDEN OF MAJOR AND TREATMENT-RESISTANT DEPRESSION IN A POPULATION-BASED STUDY COHORT OF 110.000 PATIENTS,0.3676,True,True,0,"container includes the target item, while its header or opening item identifies another contribution","The DOI has a terminal abstract number after the supplement/article code; the title names a specific contribution; and metadata supplies an individual abstract. The whole-proceedings problem belongs to the downloaded artifact, not the search record.",,"Class A means only that this is not a container search record. Study design, publication type, relevance, and extractability still require ordinary screening."
