doi,classification,relation_or_failure_subtype,confidence,requested_title,identity_status,identity_basis,document_doi,document_title,title_similarity_header,title_coverage_front,target_title_score_full_artifact,target_title_exact_in_artifact,target_doi_literal_in_artifact,best_backend,fulltext_source,artifact_path,artifact_pdf_path,artifact_pdf_exists,current_candidate_pdf_path,current_candidate_pdf_exists,manual_import_reports,local_correct_text_status,exact_doi_pmcid,direct_xml_availability,openalex_is_oa,openalex_pdf_url,openalex_landing_url,remote_correct_text_status,current_kg_finding_count,repair_method,availability_caveat
10.1001/jama.2023.0713,benign_conflict,doi_parse_truncation_or_suffix,high,Endovascular Ultrasound Renal Denervation to Treat Hypertension: The RADIANCE II Randomized Clinical Trial.,verified_exact_doi,document identifier matches requested DOI,10.1001/jama.2023.0713,Endovascular Ultrasound Renal Denervation to Treat Hypertension The RADIANCE II Randomized Clinical Trial,1.0,1.0,1.0,True,True,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1001_jama_2023_0713.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1001_jama.2023.0713__caed882876.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1001_jama.2023.0713__caed882876.pdf,True,,correct_content_available_locally,PMC9975904,not_needed,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/9975904,exact_pmc_record_available_xml_needs_probe,0,Keep local text; correct TEI/GROBID DOI parsing and store the requested DOI as document identity; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1001/jamapsychiatry.2024.4387,benign_conflict,grobid_related_doi_misidentification,high,Treatment Expectancies and Psilocybin vs Escitalopram for Depression,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1017/s0033291723000880,Treatment Expectancies and Psilocybin vs Escitalopram for Depression,1.0,1.0,1.0,True,True,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1001_jamapsychiatry_2024_4387.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1001_jamapsychiatry.2024.4387__1c5f9d103f.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1001_jamapsychiatry.2024.4387__1c5f9d103f.pdf,True,,correct_content_available_locally,PMC11883523,not_needed,True,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11883523/,exact_pmc_record_available_xml_needs_probe,6,"Keep local text after front-page/title verification; mark conflicting DOI as a GROBID header misidentification, not a source DOI.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/anie.201910175,benign_conflict,publisher_language_alias,high,Injury‐Triggered Blueing Reactions of <i>Psilocybe</i> “Magic” Mushrooms,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1002/ange.201910175,"Injury-Triggered Blueing Reactions of Psilocybe ""Magic"" Mushrooms",1.0,1.0,1.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_anie_201910175.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_anie.201910175__2a4f701f1c.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_anie.201910175__2a4f701f1c.pdf,True,,correct_content_available_locally,PMC7004109,,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201910175,https://doi.org/10.1002/anie.201910175,exact_pmc_record_available_xml_needs_probe,3,Keep local text; add controlled publisher/language DOI alias and preserve both identifiers.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/anie.202203034,benign_conflict,publisher_language_alias,high,"Enlightening the “Spirit Molecule”: Photomodulation of the 5‐HT<sub>2A</sub> Receptor by a Light‐Controllable <i>N</i>,<i>N</i>‐Dimethyltryptamine Derivative",target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1002/ange.202203034,"Enlightening the ""Spirit Molecule"": Photomodulation of the 5-HT 2A Receptor by a Light-Controllable N,N-Dimethyltryptamine Derivative",1.0,1.0,1.0,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_anie_202203034.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_anie.202203034__0967e920c5.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_anie.202203034__0967e920c5.pdf,True,,correct_content_available_locally,PMC9324199,not_needed,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202203034,https://doi.org/10.1002/anie.202203034,exact_pmc_record_available_xml_needs_probe,7,Keep local text; add controlled publisher/language DOI alias and preserve both identifiers.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/bmc.716,benign_conflict,doi_parse_truncation_or_suffix,high,"A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label.",target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1002/bmc,"A simple and sensitive HPLC-fluorescence method for quantification of MDMA and MDA in blood with 4-(4,5-diphenyl-1H-imidazol-2-yl)benzoyl chloride (DIB-Cl) as a label",1.0,1.0,1.0,True,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_bmc_716.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_bmc.716__9b853d4794.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_bmc.716__9b853d4794.pdf,True,manual_pdf_import_report_after_pdf_viewer_toolbar_retry_20260619.json,correct_content_available_locally,,,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bmc.716,https://doi.org/10.1002/bmc.716,oa_pdf_signal_requires_identity_validation,3,Keep local text; correct TEI/GROBID DOI parsing and store the requested DOI as document identity; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/dta.2613,no_header_wrong_or_ancillary,ancillary_file_instead_of_main_article,high,Return of the lysergamides. Part V: Analytical and behavioural characterization of 1‐butanoyl‐<i>d</i>‐lysergic acid diethylamide (1B‐LSD),identity_unverified,insufficient document-level identifier or title evidence,,Supporting Information -Drug Testing and Analysis,0.2088,0.0909,0.1,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_dta_2613.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1002_dta.2613__690ef5eb60.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_dta.2613__690ef5eb60.pdf,True,,main_article_not_available_in_current_artifact,PMC6899222,,True,https://researchonline.ljmu.ac.uk/id/eprint/10652/7/1B-LSD_supporting_information.pdf,https://researchonline.ljmu.ac.uk/id/eprint/10652/7/1B-LSD_supporting_information.pdf,exact_pmc_record_available_xml_needs_probe,0,Quarantine ancillary file as non-main text. Fetch exact JATS or DOI/title-validated publisher article; retain supplement separately only as context; abstract fallback if unavailable.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1002/erv.3194,benign_conflict,preprint_repository_version,high,The Prevalence of Excessive Exercise in Eating Disorders: A Systematic Review and Meta‐Analysis,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.17605/osf.io/myvxw,The Prevalence of Excessive Exercise in Eating Disorders: A Systematic Review and Meta-Analysis,1.0,1.0,1.0,True,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1002_erv_3194.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1002_erv.3194__43dd1fea86.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1002_erv.3194__43dd1fea86.pdf,True,,correct_content_available_locally,PMC12319126,not_needed,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/erv.3194,https://doi.org/10.1002/erv.3194,exact_pmc_record_available_xml_needs_probe,0,Keep local text; register explicit preprint/repository-to-published relation and choose canonical display DOI; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/s00127-023-02448-6,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Perceived risk of LSD varies with age and race: evidence from 2019 United States cross-sectional data.,identity_unverified,insufficient document-level identifier or title evidence,,Psychiatric Drug Development: Diagnosing a Crisis,0.1333,0.0769,0.3,False,False,europepmc_fulltext_xml,europepmc_fulltext_xml,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s00127_023_02448_6.json,,False,,False,,main_article_not_available_in_current_artifact,,no_correct_pmc_record,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/s002130050856,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Differential effects of ketamine on gating of auditory evoked potentials and prepulse inhibition in rats,identity_unverified,insufficient document-level identifier or title evidence,,TRADUCIR LOS DAÑOS SIN EFECTOS COLATERALES: ANÁLISIS COMPARADO DEL DERECHO DE DAÑOS Translating damages without collateral effects: a comparative analysis of damages,0.2007,0.0,0.1111,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s002130050856.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s002130050856__27f8db93dc.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s002130050856__27f8db93dc.pdf,True,,main_article_not_available_in_current_artifact,,,True,,https://ddd.uab.cat/pub/artpub/2009/114421/hermeneus_a2009n11p81.pdf,oa_landing_signal_requires_identity_validation,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/s00228-021-03216-8,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Use of ketamine and esketamine for depression: an overview of systematic reviews with meta-analyses.,identity_unverified,insufficient document-level identifier or title evidence,,Pathophysiology of depression and mechanisms of treatment,0.4076,0.2222,0.5,False,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s00228_021_03216_8.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1007_s00228-021-03216-8__b595ef5697.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s00228-021-03216-8__b595ef5697.pdf,True,,main_article_not_available_in_current_artifact,,no_correct_pmc_record,True,,https://doi.org/10.1007/s00228-021-03216-8,oa_landing_signal_requires_identity_validation,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
