# new DOI queue (mechanistic) generated at 2026-05-17T12:39:08.328728+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.11588/heidok.00038014,LSD,DAT (SLC6A3),Behavioral and Molecular Mechanisms of Cocaine Addiction Vulnerability: Functional Evidence from Rodent Models,2026,Veronika Pohořalá
10.1038/s41467-026-71574-x,Psilocybin,D1 receptor (DRD1),CB1 receptor signaling at the cingulate-striatal circuit is anxiogenic,2026,Thomas J. Kelly; Xiaojie Liu; Yao Huang; Ying Hu; Vladislav Friedman; Cecilia J. Hillard; Qing-song Liu
10.20944/preprints202602.1080.v1,LSD,CB1 receptor (CNR1),Endocannabinoid Enhancement via MAGL Inhibition in CDKL5 Deficiency: Selective Cellular Benefits and Constrained Functional Impact in &lt;em&gt;Cdkl5&lt;/em&gt; KO Mice,2026,Manuela Loi; Nicola Mottolese; Giorgio Medici; Feliciana Iannibelli; Nicolò Interino; Giulia Candini; Federica Trebbi; Angelica Marina Bove; Jessica Fiori; Stefania Trazzi
10.5282/edoc.36718,LSD,Sigma-1 receptor (SIGMAR1),Epilepsie-assoziierte Veränderungen der Sigma-1-Expression in chronischen Mausmodellen der Temporallappenepilepsie,2026,Victoria Magna Stocker
10.21203/rs.3.rs-8913130/v1,LSD,TrkB (NTRK2),H3K9me3 inhibition reverses Alzheimer′s progression by restoring synaptic and immune proteostasis across the brain–retina axis,2026,Maya Koronyo-Hamaoui; Dieu‐Trang Fuchs; Jean‐Philippe Vit; Altan Rentsendorj; Yosef Koronyo; Julia Sheyn; Bhakta Prasad Gaire; Saba Shahin; Haoshen Shi; Oksana Chepurna
10.22271/chemi.2026.v14.i3a.12666,5-MeO-DMT,5-HT1B,"Integrated molecular simulation, in vitro antioxidant evaluation, and in silico ADMET profiling of perylene-2,8-dione derivatives as potential therapeutics targeting oxidative stress in CNS disorders",2026,Sweta Rai; Jay Kumar; Pratima Katiyar; Prakash Chandra Gupta
10.1007/s12035-026-05780-5,DMT,CB1 receptor (CNR1),Neuroprotective Role of Cannabinoid CB1 and GPR55 Receptors in a Cell Model of Multiple Sclerosis,2026,Eva Martínez-Pinilla; José Manuel Calatayud-Morán; Carlota Menéndez-Pérez; Sandra Villar-Conde; Rafael Rivas-Santisteban; Rafael Peláez; Ana Navarro; Rafael Franco
10.1007/s12012-026-10109-8,DMT,TAAR1,Potential Cardiovascular Risks of Phenethylamine Analogues in Food Supplements: Evidence from Vasocontraction of Rat Artery Segments,2026,Nicole Pinckaers; W. Matthijs Blankesteijn; Peter Leenders; Ellen Weltjens; Antoon Opperhuizen; Frederik-Jan van Schooten; Misha F. Vrolijk
10.64898/2026.04.04.715307,Psilocin,NMDA receptor,Whole-brain drug distribution profiles of psychedelic drugs provide insights into rapid antidepressant action,2026,Benjamin Hänisch; Tobias Kaufmann; Sofie L. Valk
10.3390/ph18050614,DMT,AMPA receptor,Antidiabetic GLP-1 Receptor Agonists Have Neuroprotective Properties in Experimental Animal Models of Alzheimer’s Disease,2025,Melinda Urkon; Elek Ferencz; József Attila Szász; Monica Iudita Maria Szabó; Károly Orbán-Kis; Szabolcs Szatmári; E Nagy
10.1038/s41386-025-02219-8,LSD,TrkB (NTRK2),Chronic treatment with fluoxetine regulates mitochondrial features and plasticity-associated transcriptomic pathways in parvalbumin-positive interneurons of prefrontal cortex,2025,Elias Jetsonen; Giuliano Didio; Ilida Suleymanova; Indrek Teino; Eero Ċastrén; Juzoh Umemori
10.1038/s41467-025-62212-z,DMT,D1 receptor (DRD1),Cryo-EM reveals an extrahelical allosteric binding site at the M5 mAChR,2025,Wessel A. C. Burger; Jesse I. Mobbs; Bhavika Rana; Jinan Wang; Keya Joshi; Patrick R. Gentry; Mahmuda Yeasmin; Hariprasad Venugopal; Aaron M. Bender; Craig W. Lindsley
10.1038/s41467-025-63314-4,LSD,D1 receptor (DRD1),Dopaminergic signaling regulates microglial surveillance and adolescent plasticity in the mouse frontal cortex,2025,Rianne Stowell; Kuan Hong Wang
10.3389/fmars.2025.1578762,LSD,DAT (SLC6A3),Effect of environmentally relevant concentrations of estrogens on the aggressive response of male zebrafish,2025,Yingying Zhang; Hong Tao; Yanjun Shen; Qi–Liang Chen; Zhihao Liu
10.11588/heidok.00037465,Psilocybin,mu opioid receptor (OPRM1),"Effects of Oxytocin and Cannabidiol on Alcohol Craving, Neuronal Cue-Reactivity and Negative Affect in Alcohol Use Disorder",2025,"Vetter, Sina Adeline"
10.1111/bph.70284,LSD,DAT (SLC6A3),Evaluation of preclinical antipsychotic models used to support first‐in‐human clinical trials,2025,Thi Viet Ha Nguyen; D. McKernan; John P. Kelly
10.1186/s13321-025-01050-z,Mescaline,TAAR1,"GPCR-A17 MAAP: mapping modulators, agonists, and antagonists to predict the next bioactive target",2025,Ana B. Caniceiro; Ana M B Amorim; Nícia Rosário‐Ferreira; Irina S. Moreira
10.12688/f1000research.160416.2,Psilocybin,5-HT6,"Ginkgo Biloba as a niche theme cognitive enhancer agent, 1420 dokumen of Scopus database. A bibliometric study from 1988 to 2024",2025,ARMAN YURISALDI SALEH; Dwi Arwandi Yogi Saputra; Riezky Valentina; Tirta Darmawan Susanto
10.1038/s41467-025-67026-7,LSD,Sigma-1 receptor (SIGMAR1),Lithium exposure causes ferroptosis to induce unexplained miscarriage through non-canonical MBOAT1 pathway,2025,Yu Sun; Huang Wen Xin; Qigang Fan; Xiaofeng Yue; Yanbing Lin; Xueyu Chen; Jun Xie; Peize Li; Shaojun Xing; Chen Yang
10.1186/s10020-025-01232-3,LSD,D1 receptor (DRD1),Modulating autism spectrum disorder pathophysiology using a trace amine-focused approach: targeting the gut,2025,Lesha Pretorius; J L Coetzee; Andrea Pires dos Santos; Carine Smith
10.1002/2211-5463.70135,LSD,TrkB (NTRK2),Molecular determinants of signal transduction in tropomyosin receptor kinases,2025,Giray Enkavi
10.1038/s41598-025-87212-3,LSD,M1 muscarinic receptor (CHRM1),Muscarinic acetylcholine receptor 3 localized to primary endothelial cilia regulates blood pressure and cognition,2025,Hannah C. Saternos; Kathleen Forero; Mahmood A. Meqdad; Raghad Buqaileh; Clare Sunderman; Gillian Gallagher; William S. Messer; Ashraf M. Mohieldin; Claudio A. Mucci; Sanjana Kumariya
10.20944/preprints202504.0955.v1,DMT,Sigma-1 receptor (SIGMAR1),Pharmacological and Pathological Implications of Sigma-1 Receptor in Neurodegenerative Diseases,2025,Noah Drewes; Xiangwei Fang; Nikhil Gupta; Daotai Nie
10.1590/scielopreprints.14301,DMT,5-HT6,Progress in Alzheimer’s disease therapy,2025,Nelsón Durán; Wagner José Fávaro; Gerson Nakazato
10.1038/s41586-025-08880-9,Psilocybin,TrkB (NTRK2),Psychedelic control of neuroimmune interactions governing fear,2025,Elizabeth N Chung; Jinsu Lee; Carolina Manganeli Polonio; Joshua Choi; Camilo Faust Akl; Michael Kilian; Wiebke M. Weiß; Georgia Gunner; Mingyu Ye; Tae Hyun Heo
10.18332/pht/209920,LSD,SERT (SLC6A4),Seizures associated with kratom (Mitragyna speciosa) use: A systematic review of published case reports,2025,Phisitphong Piyapanyamongkhon
10.1016/j.neuroscience.2025.08.046,LSD,CB1 receptor (CNR1),Stress reactivity is modulated by cannabinoid type-1 receptors in norepinephrine and epinephrine neurons in a context-dependent manner,2025,Christopher B. Engborg; M.G. Pujar; Rahul Kanadia; Natale R. Sciolino
10.17169/refubium-49285,LSD,5-HT1E,The Regulatory Roles of DNAJC12 and RAP1GAP2 in Serotonin Synthesis and Release,2025,"Cao, Yunqing"
10.1152/physrev.00038.2024,LSD,TrkB (NTRK2),The physiopathology of brain-derived neurotrophic factor,2025,Yves‐Alain Barde
